securities_trader,price,buy,sell,securities_trader_id,stock_id,date
元大中山,1635.0,66,3000,9835,2454,2026-03-23
中銀員林,1640.0,34,0,6114,2454,2026-03-23
中銀台北,1640.0,11,0,6115,2454,2026-03-23
中銀高雄,1630.0,4000,0,6116,2454,2026-03-23
中銀豐原,1625.0,268,0,611A,2454,2026-03-23
中銀豐原,1635.0,323,25,611A,2454,2026-03-23
中國信託,1600.0,1000,0,6160,2454,2026-03-23
中國信託,1620.0,3000,0,6160,2454,2026-03-23
中國信託,1630.0,7494,2438,6160,2454,2026-03-23
中國信託,1640.0,1648,0,6160,2454,2026-03-23
中信三重,1620.0,1000,0,6161,2454,2026-03-23
中信三重,1630.0,355,0,6161,2454,2026-03-23
中信三重,1640.0,24,7,6161,2454,2026-03-23
中銀員林,1630.0,287,1080,6114,2454,2026-03-23
中信託忠,1615.0,1000,0,6162,2454,2026-03-23
中信託忠,1640.0,379,0,6162,2454,2026-03-23
中信託忠,1650.0,30,0,6162,2454,2026-03-23
中信託永,1620.0,3000,4000,6163,2454,2026-03-23
中信託永,1630.0,2981,0,6163,2454,2026-03-23
中信託永,1640.0,1061,9,6163,2454,2026-03-23
中信託文,1620.0,1000,1000,6164,2454,2026-03-23
中信託文,1630.0,3752,0,6164,2454,2026-03-23
中信託文,1640.0,153,1040,6164,2454,2026-03-23
中信託新,1615.0,1000,0,6165,2454,2026-03-23
中信託新,1625.0,1480,1306,6165,2454,2026-03-23
中信託新,1635.0,1621,2,6165,2454,2026-03-23
中信託新,1645.0,1,0,6165,2454,2026-03-23
中信託忠,1630.0,1870,100,6162,2454,2026-03-23
中信松江,1625.0,267,0,6167,2454,2026-03-23
中銀員林,1620.0,4000,1000,6114,2454,2026-03-23
台中銀,1630.0,1524,10,6110,2454,2026-03-23
統一三多,1620.0,1000,0,585Q,2454,2026-03-23
統一三多,1630.0,23,0,585Q,2454,2026-03-23
統一三多,1645.0,50,0,585Q,2454,2026-03-23
統一東湖,1625.0,6,0,585R,2454,2026-03-23
統一東湖,1635.0,128,0,585R,2454,2026-03-23
統一宜蘭,1625.0,1051,0,585S,2454,2026-03-23
統一宜蘭,1640.0,2,0,585S,2454,2026-03-23
統一南京,1615.0,0,2000,585U,2454,2026-03-23
統一南京,1630.0,141,0,585U,2454,2026-03-23
統一南京,1640.0,1,0,585U,2454,2026-03-23
統一金門,1630.0,274,5,585W,2454,2026-03-23
統一金門,1640.0,0,3,585W,2454,2026-03-23
台中銀,1640.0,1,50,6110,2454,2026-03-23
統一土城,1630.0,70,0,585Y,2454,2026-03-23
統一松江,1625.0,3000,0,585Z,2454,2026-03-23
統一松江,1635.0,130,0,585Z,2454,2026-03-23
盈溢楠梓,1635.0,20,0,5862,2454,2026-03-23
日茂南投,1635.0,10,0,5962,2454,2026-03-23
?亞,1625.0,50,0,6010,2454,2026-03-23
?亞網路,1625.0,228,0,6012,2454,2026-03-23
?亞網路,1635.0,320,7,6012,2454,2026-03-23
?亞鑫豐,1605.0,1000,0,601d,2454,2026-03-23
?亞鑫豐,1625.0,3105,5,601d,2454,2026-03-23
?亞鑫豐,1635.0,64,164,601d,2454,2026-03-23
?亞鑫豐,1645.0,52,0,601d,2454,2026-03-23
台中銀,1620.0,2000,0,6110,2454,2026-03-23
統一土城,1640.0,102,0,585Y,2454,2026-03-23
統一板橋,1635.0,55,0,585P,2454,2026-03-23
中信松江,1635.0,70,0,6167,2454,2026-03-23
中信嘉義,1620.0,2000,0,6168,2454,2026-03-23
大昌安康,1625.0,12,0,6462,2454,2026-03-23
大昌安康,1635.0,5,700,6462,2454,2026-03-23
大昌新竹,1625.0,110,0,6463,2454,2026-03-23
大昌新竹,1635.0,200,0,6463,2454,2026-03-23
大昌新店,1620.0,1000,0,6464,2454,2026-03-23
大昌新店,1630.0,425,0,6464,2454,2026-03-23
大昌新店,1640.0,70,50,6464,2454,2026-03-23
大昌桃園,1620.0,3000,0,6465,2454,2026-03-23
大昌桃園,1630.0,1130,0,6465,2454,2026-03-23
福邦,1630.0,148,0,6480,2454,2026-03-23
口袋,1615.0,1000,0,6620,2454,2026-03-23
口袋,1625.0,317,1089,6620,2454,2026-03-23
大昌樹林,1640.0,25,0,6461,2454,2026-03-23
口袋,1635.0,291,13,6620,2454,2026-03-23
德信,1625.0,1005,0,6910,2454,2026-03-23
德信,1635.0,10,0,6910,2454,2026-03-23
德信中正,1625.0,10,0,6912,2454,2026-03-23
德信中正,1635.0,21,0,6912,2454,2026-03-23
德信新營,1630.0,1,0,6913,2454,2026-03-23
