securities_trader,price,buy,sell,securities_trader_id,stock_id,date
富邦永和,239.0,0,36,9654,2486,2026-05-18
富邦中壢,250.5,0,2000,9636,2486,2026-05-18
富邦豐原,239.0,0,500,963L,2486,2026-05-18
富邦新竹,236.0,0,1000,9647,2486,2026-05-18
富邦新竹,247.0,1000,0,9647,2486,2026-05-18
富邦中壢,246.5,0,10,9636,2486,2026-05-18
富邦新竹,248.5,2000,0,9647,2486,2026-05-18
富邦永和,235.0,200,0,9654,2486,2026-05-18
富邦建國,235.0,0,40,9658,2486,2026-05-18
富邦板橋,235.0,40,0,9655,2486,2026-05-18
富邦板橋,242.0,0,4000,9655,2486,2026-05-18
富邦板橋,246.0,100,1000,9655,2486,2026-05-18
富邦苗栗,245.0,117,0,9657,2486,2026-05-18
富邦建國,237.0,1000,0,9658,2486,2026-05-18
富邦建國,246.5,5,0,9658,2486,2026-05-18
富邦高雄,239.0,1000,0,9659,2486,2026-05-18
富邦建國,249.0,10,0,9658,2486,2026-05-18
富邦永和,245.0,1100,0,9654,2486,2026-05-18
富邦台北,237.0,2000,0,9623,2486,2026-05-18
富邦內湖,238.0,0,590,9627,2486,2026-05-18
富邦中壢,236.0,100,0,9636,2486,2026-05-18
富邦台北,245.0,0,100,9623,2486,2026-05-18
富邦高雄,250.5,0,1000,9659,2486,2026-05-18
富邦台北,235.0,0,4,9623,2486,2026-05-18
富邦竹北,234.0,0,1000,9624,2486,2026-05-18
富邦竹北,242.0,0,2000,9624,2486,2026-05-18
富邦竹北,246.0,0,1000,9624,2486,2026-05-18
富邦竹東,246.5,100,0,9625,2486,2026-05-18
富邦內湖,235.0,200,0,9627,2486,2026-05-18
富邦二林,249.0,0,100,962B,2486,2026-05-18
富邦竹科,239.0,42,0,962C,2486,2026-05-18
富邦竹科,245.0,50,100,962C,2486,2026-05-18
富邦竹科,248.0,100,0,962C,2486,2026-05-18
富邦新莊,237.0,1000,0,962D,2486,2026-05-18
富邦新莊,245.0,0,40,962D,2486,2026-05-18
富邦樹林,235.0,100,0,962E,2486,2026-05-18
富邦斗六,242.0,0,2000,962G,2486,2026-05-18
富邦斗六,249.0,13,0,962G,2486,2026-05-18
富邦北高,236.0,0,1000,962Q,2486,2026-05-18
富邦中壢,234.0,1000,0,9636,2486,2026-05-18
富邦中壢,242.0,0,1000,9636,2486,2026-05-18
富邦台中,245.0,50,0,965K,2486,2026-05-18
元大,250.5,0,11000,9800,2486,2026-05-18
富邦彰化,245.0,50,0,965U,2486,2026-05-18
富邦新營,237.0,0,1000,9693,2486,2026-05-18
富邦虎尾,248.0,100,0,9697,2486,2026-05-18
元大,234.0,0,1000,9800,2486,2026-05-18
元大,238.0,4,0,9800,2486,2026-05-18
元大,243.0,4000,0,9800,2486,2026-05-18
元大,247.0,0,4000,9800,2486,2026-05-18
元大松江,245.0,700,0,9801,2486,2026-05-18
元大松江,248.5,1000,0,9801,2486,2026-05-18
元大中北,237.0,1000,0,980a,2486,2026-05-18
元大斗六,235.0,0,124,980C,2486,2026-05-18
元大沙鹿,234.0,3000,0,980d,2486,2026-05-18
元大沙鹿,246.0,0,3000,980d,2486,2026-05-18
元大北府,236.0,0,1000,980D,2486,2026-05-18
元大北府,245.0,0,100,980D,2486,2026-05-18
元大清水,239.0,500,0,980e,2486,2026-05-18
元大清水,246.0,3000,0,980e,2486,2026-05-18
富邦花蓮,239.0,1000,0,9621,2486,2026-05-18
元大台北,242.0,0,2000,980h,2486,2026-05-18
元大台北,237.0,4000,0,980h,2486,2026-05-18
富邦嘉義,247.5,4,0,9692,2486,2026-05-18
富邦台中,249.0,0,163,965K,2486,2026-05-18
富邦嘉義,245.0,232,0,9692,2486,2026-05-18
富邦宜蘭,242.0,1000,0,9686,2486,2026-05-18
富邦彰化,249.0,0,250,965U,2486,2026-05-18
富邦新店,236.0,0,1000,9661,2486,2026-05-18
富邦新店,245.0,0,170,9661,2486,2026-05-18
富邦敦南,238.0,0,200,9663,2486,2026-05-18
富邦敦南,247.0,0,5000,9663,2486,2026-05-18
富邦桃園,236.0,100,0,9665,2486,2026-05-18
富邦桃園,242.0,0,1000,9665,2486,2026-05-18
富邦南屯,236.0,20,0,9666,2486,2026-05-18
富邦台南,253.0,1000,0,9667,2486,2026-05-18
富邦左營,245.0,410,0,966F,2486,2026-05-18
富邦員林,245.0,25,0,9672,2486,2026-05-18
富邦仁愛,235.0,0,200,9676,2486,2026-05-18
富邦仁愛,237.0,8000,0,9676,2486,2026-05-18
富邦仁愛,242.0,1000,4000,9676,2486,2026-05-18
富邦仁愛,248.0,5,0,9676,2486,2026-05-18
富邦三重,234.0,1000,0,9677,2486,2026-05-18
富邦三重,236.0,0,1000,9677,2486,2026-05-18
富邦三重,238.0,0,500,9677,2486,2026-05-18
富邦三重,245.0,100,0,9677,2486,2026-05-18
富邦嘉義,236.0,20,0,9692,2486,2026-05-18
富邦屏東,247.0,0,1000,961Y,2486,2026-05-18
凱基市政,253.0,0,2000,9239,2486,2026-05-18
富邦和美,245.0,27,0,961P,2486,2026-05-18
凱基林口,246.0,400,0,9257,2486,2026-05-18
凱基台北,234.0,16000,0,9268,2486,2026-05-18
凱基台北,236.0,25,0,9268,2486,2026-05-18
凱基台北,238.0,25,0,9268,2486,2026-05-18
凱基台北,242.0,7000,2000,9268,2486,2026-05-18
凱基台北,246.0,23500,1000,9268,2486,2026-05-18
凱基台北,248.5,1000,0,9268,2486,2026-05-18
凱基竹科,238.0,0,200,9272,2486,2026-05-18
凱基竹科,242.0,1000,0,9272,2486,2026-05-18
凱基竹科,250.5,0,1000,9272,2486,2026-05-18
凱基鳳山,234.0,3000,0,9274,2486,2026-05-18
凱基鳳山,243.0,0,6000,9274,2486,2026-05-18
凱基苗栗,234.0,0,1000,9276,2486,2026-05-18
凱基中壢,234.0,0,1000,9285,2486,2026-05-18
凱基中壢,236.0,200,0,9285,2486,2026-05-18
凱基中壢,239.0,2,0,9285,2486,2026-05-18
凱基中壢,245.0,100,0,9285,2486,2026-05-18
凱基埔墘,246.0,1000,0,9288,2486,2026-05-18
凱基頭份,236.0,150,0,9296,2486,2026-05-18
凱基南崁,235.0,3,0,9256,2486,2026-05-18
凱基文心,237.0,0,1000,9297,2486,2026-05-18
凱基市政,250.5,0,2000,9239,2486,2026-05-18
凱基市政,236.0,30000,0,9239,2486,2026-05-18
凱基松山,251.5,81,0,9217,2486,2026-05-18
元大台北,248.5,10000,0,980h,2486,2026-05-18
凱基民權,236.0,10,0,921C,2486,2026-05-18
凱基民權,239.0,0,250,921C,2486,2026-05-18
凱基民權,251.5,10,0,921C,2486,2026-05-18
凱基三峽,236.0,0,1000,921E,2486,2026-05-18
凱基三峽,246.0,1000,0,921E,2486,2026-05-18
凱基三峽,253.0,1000,0,921E,2486,2026-05-18
凱基新莊,235.0,5,0,921S,2486,2026-05-18
凱基城中,245.0,20,0,9227,2486,2026-05-18
凱基中山,238.0,0,200,9229,2486,2026-05-18
凱基屏東,236.0,100,0,922C,2486,2026-05-18
凱基長庚,236.0,0,3000,9233,2486,2026-05-18
