securities_trader,price,buy,sell,securities_trader_id,stock_id,date
致和崇德,1605.0,0,100,703B,2345,2026-03-19
致和金華,1590.0,0,35,7034,2345,2026-03-19
北城,1600.0,0,30,7750,2345,2026-03-19
兆豐高雄,1610.0,2010,1000,700Z,2345,2026-03-19
國票綜合,1585.0,0,55,7790,2345,2026-03-19
兆豐高雄,1585.0,0,20,700Z,2345,2026-03-19
兆豐城中,1590.0,0,1000,700W,2345,2026-03-19
兆豐城中,1580.0,101,1000,700W,2345,2026-03-19
兆豐新莊,1590.0,10,0,700w,2345,2026-03-19
致和府前,1585.0,40,0,7033,2345,2026-03-19
兆豐桃鶯,1615.0,0,1000,700U,2345,2026-03-19
兆豐新竹,1605.0,0,1175,700V,2345,2026-03-19
兆豐新竹,1595.0,0,100,700V,2345,2026-03-19
兆豐新竹,1585.0,10,0,700V,2345,2026-03-19
兆豐桃鶯,1600.0,0,4,700U,2345,2026-03-19
兆豐大同,1610.0,0,23,700S,2345,2026-03-19
兆豐大同,1570.0,100,0,700S,2345,2026-03-19
兆豐岡山,1600.0,0,10,700s,2345,2026-03-19
國票綜合,1605.0,0,909,7790,2345,2026-03-19
兆豐岡山,1590.0,50,0,700s,2345,2026-03-19
兆豐岡山,1580.0,0,10,700s,2345,2026-03-19
兆豐新竹,1615.0,0,5,700V,2345,2026-03-19
國票綜合,1615.0,0,1204,7790,2345,2026-03-19
國票和平,1600.0,5000,0,779j,2345,2026-03-19
國票南港,1590.0,1000,25,7795,2345,2026-03-19
國票彰化,1585.0,1000,0,779W,2345,2026-03-19
兆豐小港,1610.0,1000,0,700R,2345,2026-03-19
國票天祥,1580.0,1000,0,779V,2345,2026-03-19
國票長城,1605.0,0,2000,779u,2345,2026-03-19
國票長城,1580.0,1000,1000,779u,2345,2026-03-19
國票桃園,1605.0,0,1000,779r,2345,2026-03-19
國票九鼎,1615.0,0,1000,779P,2345,2026-03-19
國票九鼎,1605.0,1000,0,779P,2345,2026-03-19
國票九鼎,1590.0,1000,2030,779P,2345,2026-03-19
國票中港,1585.0,0,2000,779m,2345,2026-03-19
國票和平,1610.0,6000,0,779j,2345,2026-03-19
國票中和,1575.0,1000,0,779X,2345,2026-03-19
國票和平,1590.0,1000,1020,779j,2345,2026-03-19
國票和平,1580.0,2000,0,779j,2345,2026-03-19
國票嘉義,1600.0,1000,0,779H,2345,2026-03-19
國票新莊,1610.0,0,3000,779G,2345,2026-03-19
國票新莊,1570.0,3000,0,779G,2345,2026-03-19
國票南科,1595.0,0,1000,779e,2345,2026-03-19
國票南科,1585.0,10,0,779e,2345,2026-03-19
國票台南,1600.0,1050,0,779D,2345,2026-03-19
國票敦北,1605.0,1000,1000,779c,2345,2026-03-19
國票敦北,1595.0,0,1003,779c,2345,2026-03-19
國票內壢,1605.0,0,10,7798,2345,2026-03-19
國票中正,1615.0,0,5,7797,2345,2026-03-19
國票中正,1605.0,80,0,7797,2345,2026-03-19
國票北投,1610.0,0,100,7792,2345,2026-03-19
兆豐寶成,1580.0,0,4,700r,2345,2026-03-19
兆豐鹿港,1565.0,0,50,700f,2345,2026-03-19
兆豐復興,1590.0,130,30,700p,2345,2026-03-19
兆豐虎尾,1595.0,0,1004,700F,2345,2026-03-19
兆豐鹿港,1590.0,100,0,700f,2345,2026-03-19
兆豐嘉義,1585.0,0,1000,7001,2345,2026-03-19
兆豐西螺,1585.0,0,2000,700D,2345,2026-03-19
兆豐彰化,1595.0,10,0,700d,2345,2026-03-19
兆豐來福,1595.0,1000,0,700C,2345,2026-03-19
兆豐來福,1585.0,1000,2000,700C,2345,2026-03-19
兆豐民生,1605.0,1000,0,700c,2345,2026-03-19
兆豐民生,1585.0,0,1000,700c,2345,2026-03-19
兆豐板橋,1620.0,50,0,700B,2345,2026-03-19
兆豐板橋,1595.0,0,10,700B,2345,2026-03-19
兆豐南門,1585.0,3000,0,700g,2345,2026-03-19
兆豐中壢,1610.0,0,50,700b,2345,2026-03-19
兆豐忠孝,1600.0,30,0,700a,2345,2026-03-19
兆豐忠孝,1590.0,5,1001,700a,2345,2026-03-19
兆豐忠孝,1580.0,1,0,700a,2345,2026-03-19
兆豐竹北,1605.0,1010,0,7007,2345,2026-03-19
兆豐竹北,1585.0,50,0,7007,2345,2026-03-19
兆豐台南,1590.0,0,10,7006,2345,2026-03-19
兆豐中港,1610.0,0,1000,7005,2345,2026-03-19
兆豐中港,1590.0,1000,0,7005,2345,2026-03-19
兆豐台中,1585.0,0,1000,7003,2345,2026-03-19
國票中和,1595.0,30,0,779X,2345,2026-03-19
兆豐嘉義,1600.0,50,0,7001,2345,2026-03-19
兆豐中壢,1565.0,10,0,700b,2345,2026-03-19
兆豐南京,1605.0,0,1000,700P,2345,2026-03-19
兆豐麻豆,1575.0,0,8,700G,2345,2026-03-19
兆豐麻豆,1610.0,100,0,700G,2345,2026-03-19
兆豐復興,1565.0,1000,0,700p,2345,2026-03-19
兆豐埔墘,1575.0,200,0,700N,2345,2026-03-19
兆豐桃園,1590.0,0,2000,700M,2345,2026-03-19
兆豐桃園,1580.0,0,200,700M,2345,2026-03-19
兆豐桃園,1570.0,100,0,700M,2345,2026-03-19
兆豐天母,1585.0,1000,0,700L,2345,2026-03-19
兆豐新營,1620.0,0,1000,700K,2345,2026-03-19
兆豐新營,1595.0,70,0,700K,2345,2026-03-19
兆豐員林,1615.0,0,15,700k,2345,2026-03-19
兆豐員林,1595.0,0,34,700k,2345,2026-03-19
兆豐員林,1585.0,11,0,700k,2345,2026-03-19
兆豐麻豆,1590.0,30,0,700G,2345,2026-03-19
兆豐公益,1610.0,15,0,700J,2345,2026-03-19
兆豐公益,1590.0,400,0,700J,2345,2026-03-19
