securities_trader,price,buy,sell,securities_trader_id,stock_id,date
兆豐民生,1405.0,1000,0,700c,2345,2026-02-26
國泰桃園,1400.0,1000,0,8885,2345,2026-02-26
元富中原,1430.0,0,1000,9B2g,2345,2026-02-26
元富新竹,1400.0,3000,0,9B2G,2345,2026-02-26
元富新竹,1415.0,20,0,9B2G,2345,2026-02-26
元富新竹,1425.0,2,800,9B2G,2345,2026-02-26
元富新竹,1440.0,1,0,9B2G,2345,2026-02-26
元富信義,1410.0,20,0,9B2H,2345,2026-02-26
元富信義,1425.0,4,0,9B2H,2345,2026-02-26
元富信義,1445.0,10,1000,9B2H,2345,2026-02-26
元富中港,1415.0,1,0,9B2i,2345,2026-02-26
元富中港,1440.0,1,0,9B2i,2345,2026-02-26
元富嘉義,1410.0,5,0,9B2I,2345,2026-02-26
元富嘉義,1425.0,1,0,9B2I,2345,2026-02-26
元富大裕,1415.0,19,150,9B2l,2345,2026-02-26
元富大裕,1425.0,2,0,9B2l,2345,2026-02-26
元富大裕,1435.0,1010,97,9B2l,2345,2026-02-26
元富大裕,1445.0,0,30,9B2l,2345,2026-02-26
元富中壢,1415.0,100,0,9B2L,2345,2026-02-26
元富成功,1420.0,15,0,9B2m,2345,2026-02-26
元富成功,1435.0,10,0,9B2m,2345,2026-02-26
元富彰化,1445.0,100,0,9B2M,2345,2026-02-26
元富西松,1415.0,30,0,9B2n,2345,2026-02-26
元富虎尾,1415.0,100,0,9B2N,2345,2026-02-26
元富新興,1425.0,20,0,9B2o,2345,2026-02-26
元富中原,1420.0,5,0,9B2g,2345,2026-02-26
元富中原,1410.0,10,0,9B2g,2345,2026-02-26
元富城中,1430.0,150,6,9B2E,2345,2026-02-26
元富城中,1420.0,1,0,9B2E,2345,2026-02-26
元富林園,1400.0,0,1000,9B27,2345,2026-02-26
元富林園,1435.0,100,0,9B27,2345,2026-02-26
元富新莊,1415.0,10,0,9B28,2345,2026-02-26
元富新莊,1430.0,1100,0,9B28,2345,2026-02-26
元富台南,1415.0,2020,3000,9B29,2345,2026-02-26
元富台南,1425.0,1000,1000,9B29,2345,2026-02-26
元富松德,1410.0,45,0,9B2a,2345,2026-02-26
元富松德,1420.0,1000,0,9B2a,2345,2026-02-26
元富松德,1430.0,1000,0,9B2a,2345,2026-02-26
元富松德,1450.0,1000,0,9B2a,2345,2026-02-26
元富緯城,1410.0,10,0,9B2A,2345,2026-02-26
元富同大,1410.0,10,1000,9B2P,2345,2026-02-26
元富緯城,1420.0,13,0,9B2A,2345,2026-02-26
元富緯城,1440.0,15,0,9B2A,2345,2026-02-26
元富緯城,1455.0,0,1000,9B2A,2345,2026-02-26
元富板橋,1410.0,11,0,9B2b,2345,2026-02-26
元富板橋,1425.0,14,6000,9B2b,2345,2026-02-26
元富烏日,1410.0,115,0,9B2c,2345,2026-02-26
元富烏日,1425.0,5,100,9B2c,2345,2026-02-26
元富烏日,1435.0,10,0,9B2c,2345,2026-02-26
元富潮州,1420.0,2,0,9B2C,2345,2026-02-26
元富大昌,1410.0,1010,0,9B2D,2345,2026-02-26
元富大昌,1445.0,0,5,9B2D,2345,2026-02-26
元富城中,1410.0,1025,0,9B2E,2345,2026-02-26
元富緯城,1430.0,29,0,9B2A,2345,2026-02-26
元富台中,1430.0,5,0,9B25,2345,2026-02-26
元富同大,1425.0,30,0,9B2P,2345,2026-02-26
元富屏東,1415.0,161,0,9B2q,2345,2026-02-26
凱基豐中,1415.0,1000,0,9223,2345,2026-02-26
合庫,1400.0,0,2000,1020,2345,2026-02-26
合庫,1415.0,1,45,1020,2345,2026-02-26
合庫,1425.0,0,100,1020,2345,2026-02-26
合庫台中,1400.0,1000,0,1021,2345,2026-02-26
合庫台中,1415.0,100,0,1021,2345,2026-02-26
合庫台中,1430.0,3,0,1021,2345,2026-02-26
合庫台中,1445.0,0,1000,1021,2345,2026-02-26
合庫台南,1420.0,1000,0,1022,2345,2026-02-26
合庫台南,1430.0,1000,0,1022,2345,2026-02-26
合庫台南,1445.0,100,0,1022,2345,2026-02-26
合庫高雄,1415.0,115,0,1023,2345,2026-02-26
合庫高雄,1435.0,1000,0,1023,2345,2026-02-26
合庫嘉義,1415.0,20,0,1024,2345,2026-02-26
合庫基隆,1410.0,10,0,1025,2345,2026-02-26
合庫基隆,1425.0,10,1000,1025,2345,2026-02-26
合庫彰化,1410.0,60,0,1028,2345,2026-02-26
合庫彰化,1420.0,10,0,1028,2345,2026-02-26
合庫彰化,1440.0,100,0,1028,2345,2026-02-26
合庫新竹,1415.0,30,0,102A,2345,2026-02-26
合庫新竹,1425.0,0,1,102A,2345,2026-02-26
合庫新竹,1435.0,10,1004,102A,2345,2026-02-26
合庫自強,1410.0,70,0,102C,2345,2026-02-26
元富安南,1435.0,10,0,9B2Z,2345,2026-02-26
元富安南,1425.0,10,0,9B2Z,2345,2026-02-26
元富安南,1415.0,10,0,9B2Z,2345,2026-02-26
元富文心,1450.0,0,6,9B2z,2345,2026-02-26
元富屏東,1430.0,1000,0,9B2q,2345,2026-02-26
元富屏東,1450.0,0,1000,9B2q,2345,2026-02-26
元富敦南,1410.0,22,0,9B2Q,2345,2026-02-26
元富敦南,1420.0,3,0,9B2Q,2345,2026-02-26
元富敦南,1430.0,2000,0,9B2Q,2345,2026-02-26
元富城東,1410.0,3000,0,9B2r,2345,2026-02-26
元富城東,1420.0,2012,0,9B2r,2345,2026-02-26
元富城東,1430.0,2117,0,9B2r,2345,2026-02-26
元富城東,1440.0,0,101,9B2r,2345,2026-02-26
元富基隆,1410.0,5,0,9B2S,2345,2026-02-26
元富世貿,1410.0,20,0,9B2u,2345,2026-02-26
元富同大,1435.0,10,0,9B2P,2345,2026-02-26
元富宜蘭,1410.0,0,1000,9B2U,2345,2026-02-26
元富佳里,1410.0,22,0,9B2w,2345,2026-02-26
元富佳里,1435.0,1,0,9B2w,2345,2026-02-26
元富吉利,1425.0,4,0,9B2W,2345,2026-02-26
元富草屯,1400.0,0,10000,9B2X,2345,2026-02-26
元富草屯,1415.0,1000,10,9B2X,2345,2026-02-26
元富草屯,1425.0,100,0,9B2X,2345,2026-02-26
元富花蓮,1415.0,0,1,9B2y,2345,2026-02-26
元富埔里,1410.0,220,0,9B2Y,2345,2026-02-26
元富埔里,1425.0,10,0,9B2Y,2345,2026-02-26
元富埔里,1440.0,10,0,9B2Y,2345,2026-02-26
元富文心,1415.0,1000,0,9B2z,2345,2026-02-26
元富宜蘭,1445.0,1,0,9B2U,2345,2026-02-26
元富台中,1410.0,1000,10,9B25,2345,2026-02-26
元富三重,1420.0,20,0,9B23,2345,2026-02-26
元富新店,1445.0,0,52,9B22,2345,2026-02-26
永豐永康,1415.0,152,150,9A9c,2345,2026-02-26
永豐永康,1425.0,0,25,9A9c,2345,2026-02-26
永豐員林,1410.0,5,0,9A9C,2345,2026-02-26
永豐員林,1420.0,5,0,9A9C,2345,2026-02-26
永豐員林,1445.0,0,10,9A9C,2345,2026-02-26
永豐古亭,1415.0,1100,1000,9A9d,2345,2026-02-26
永豐古亭,1440.0,1000,20,9A9d,2345,2026-02-26
永豐忠孝,1410.0,2,1000,9A9D,2345,2026-02-26
永豐忠孝,1420.0,4,0,9A9D,2345,2026-02-26
永豐忠孝,1430.0,1000,1000,9A9D,2345,2026-02-26
永豐高雄,1410.0,12,0,9A9e,2345,2026-02-26
永豐高雄,1425.0,10,26,9A9e,2345,2026-02-26
永豐高雄,1445.0,0,40,9A9e,2345,2026-02-26
永豐內湖,1420.0,10,0,9A9g,2345,2026-02-26
永豐內湖,1430.0,0,7,9A9g,2345,2026-02-26
永豐天母,1400.0,1000,0,9A9G,2345,2026-02-26
永豐天母,1420.0,5,0,9A9G,2345,2026-02-26
永豐天母,1435.0,1000,0,9A9G,2345,2026-02-26
永豐天母,1445.0,1,0,9A9G,2345,2026-02-26
永豐台南,1415.0,5,2,9A9h,2345,2026-02-26
永豐台南,1425.0,3,0,9A9h,2345,2026-02-26
永豐台南,1435.0,20,0,9A9h,2345,2026-02-26
永豐新莊,1410.0,5,0,9A9H,2345,2026-02-26
永豐中和,1435.0,10,0,9A9B,2345,2026-02-26
永豐中和,1420.0,0,2000,9A9B,2345,2026-02-26
永豐虎尾,1450.0,0,1000,9A9b,2345,2026-02-26
永豐虎尾,1430.0,10,1000,9A9b,2345,2026-02-26
永豐敦南,1400.0,2000,0,9A8F,2345,2026-02-26
永豐敦南,1415.0,300,1000,9A8F,2345,2026-02-26
永豐敦南,1425.0,2020,2,9A8F,2345,2026-02-26
永豐敦南,1435.0,0,1004,9A8F,2345,2026-02-26
永豐松山,1400.0,1000,0,9A91,2345,2026-02-26
永豐松山,1415.0,2011,0,9A91,2345,2026-02-26
永豐松山,1425.0,20,0,9A91,2345,2026-02-26
永豐松山,1435.0,157,0,9A91,2345,2026-02-26
永豐萬盛,1410.0,11,3000,9A92,2345,2026-02-26
永豐萬盛,1420.0,17,51,9A92,2345,2026-02-26
永豐萬盛,1430.0,0,1000,9A92,2345,2026-02-26
永豐新莊,1420.0,6,0,9A9H,2345,2026-02-26
永豐萬盛,1440.0,0,25,9A92,2345,2026-02-26
永豐新竹,1435.0,5,0,9A97,2345,2026-02-26
永豐大園,1410.0,10,0,9A98,2345,2026-02-26
永豐大園,1420.0,100,0,9A98,2345,2026-02-26
永豐大園,1430.0,111,0,9A98,2345,2026-02-26
永豐大園,1440.0,100,500,9A98,2345,2026-02-26
永豐中壢,1410.0,15,0,9A99,2345,2026-02-26
永豐中壢,1425.0,1,0,9A99,2345,2026-02-26
永豐苓雅,1410.0,4059,30,9A9a,2345,2026-02-26
永豐苓雅,1425.0,1000,0,9A9a,2345,2026-02-26
永豐羅東,1420.0,0,1000,9A9A,2345,2026-02-26
永豐虎尾,1415.0,0,1005,9A9b,2345,2026-02-26
永豐新竹,1415.0,1010,0,9A97,2345,2026-02-26
永豐嘉義,1410.0,60,0,9A9j,2345,2026-02-26
永豐板新,1400.0,1000,1000,9A9J,2345,2026-02-26
永豐板新,1415.0,2,103,9A9J,2345,2026-02-26
永豐中正,1435.0,160,1000,9A9U,2345,2026-02-26
永豐中正,1445.0,0,406,9A9U,2345,2026-02-26
永豐市政,1415.0,1022,2000,9A9W,2345,2026-02-26
永豐市政,1425.0,1010,0,9A9W,2345,2026-02-26
永豐市政,1435.0,45,10,9A9W,2345,2026-02-26
永豐市政,1445.0,55,1,9A9W,2345,2026-02-26
永豐桃園,1410.0,472,0,9A9x,2345,2026-02-26
永豐桃園,1420.0,30,0,9A9x,2345,2026-02-26
永豐桃園,1435.0,10,0,9A9x,2345,2026-02-26
永豐竹科,1415.0,40,1170,9A9X,2345,2026-02-26
永豐竹科,1425.0,1600,0,9A9X,2345,2026-02-26
永豐中正,1425.0,53,4,9A9U,2345,2026-02-26
永豐竹科,1440.0,25,0,9A9X,2345,2026-02-26
永豐復興,1415.0,120,0,9A9Z,2345,2026-02-26
永豐復興,1425.0,30,0,9A9Z,2345,2026-02-26
元富證券,1410.0,24000,30000,9B00,2345,2026-02-26
元富證券,1420.0,16000,0,9B00,2345,2026-02-26
元富證券,1430.0,14070,1000,9B00,2345,2026-02-26
元富證券,1440.0,12000,0,9B00,2345,2026-02-26
元富高雄,1400.0,0,1000,9B21,2345,2026-02-26
元富高雄,1430.0,0,1000,9B21,2345,2026-02-26
元富新店,1405.0,1000,0,9B22,2345,2026-02-26
元富新店,1415.0,159,0,9B22,2345,2026-02-26
元富新店,1425.0,25,0,9B22,2345,2026-02-26
永豐板盛,1425.0,6,0,9A9Y,2345,2026-02-26
合庫自強,1430.0,50,0,102C,2345,2026-02-26
永豐中正,1415.0,53,13,9A9U,2345,2026-02-26
永豐南京,1420.0,11,0,9A9S,2345,2026-02-26
永豐板新,1435.0,50,0,9A9J,2345,2026-02-26
永豐三重,1400.0,0,2000,9A9K,2345,2026-02-26
永豐三重,1425.0,2000,0,9A9K,2345,2026-02-26
永豐台中,1410.0,1090,17,9A9L,2345,2026-02-26
永豐台中,1420.0,25,14,9A9L,2345,2026-02-26
永豐台中,1430.0,1010,0,9A9L,2345,2026-02-26
永豐南投,1425.0,30,0,9A9M,2345,2026-02-26
永豐桃盛,1400.0,1000,0,9A9N,2345,2026-02-26
永豐桃盛,1415.0,1030,1010,9A9N,2345,2026-02-26
永豐桃盛,1430.0,0,3,9A9N,2345,2026-02-26
永豐桃盛,1450.0,1000,0,9A9N,2345,2026-02-26
永豐中正,1400.0,1000,0,9A9U,2345,2026-02-26
永豐竹北,1415.0,56,0,9A9P,2345,2026-02-26
永豐竹北,1440.0,1000,0,9A9P,2345,2026-02-26
