securities_trader,price,buy,sell,securities_trader_id,stock_id,date
群益丹鳳,189.5,100,263,918s,3035,2026-05-20
凱基中港,193.5,5000,0,9202,3035,2026-05-20
國泰松江,189.0,2050,0,8883,3035,2026-05-20
國泰松江,188.0,0,100,8883,3035,2026-05-20
國泰松江,185.0,3000,0,8883,3035,2026-05-20
國泰台中,193.5,7000,1000,8882,3035,2026-05-20
國泰台中,192.5,11000,3000,8882,3035,2026-05-20
國泰台中,191.5,0,2000,8882,3035,2026-05-20
國泰台中,190.5,1100,2150,8882,3035,2026-05-20
國泰台中,189.5,11005,7000,8882,3035,2026-05-20
國泰台中,188.5,3150,4007,8882,3035,2026-05-20
國泰台中,187.5,1000,1000,8882,3035,2026-05-20
國泰台中,186.5,5060,4566,8882,3035,2026-05-20
國泰台中,185.5,40,0,8882,3035,2026-05-20
國泰高雄,193.5,1000,0,8881,3035,2026-05-20
國泰高雄,192.5,20,8000,8881,3035,2026-05-20
國泰高雄,191.0,1000,0,8881,3035,2026-05-20
國泰高雄,189.5,5010,0,8881,3035,2026-05-20
國泰高雄,188.5,8031,2000,8881,3035,2026-05-20
國泰高雄,187.0,1025,20,8881,3035,2026-05-20
國泰高雄,186.0,10,0,8881,3035,2026-05-20
國泰綜合,193.0,0,3500,8880,3035,2026-05-20
國泰綜合,192.0,1000,7500,8880,3035,2026-05-20
國泰綜合,191.0,0,25000,8880,3035,2026-05-20
國泰綜合,190.0,0,19000,8880,3035,2026-05-20
國泰綜合,189.0,8000,15000,8880,3035,2026-05-20
國泰綜合,187.5,2000,2000,8880,3035,2026-05-20
玉山數位,193.0,1000,52,884M,3035,2026-05-20
玉山數位,192.0,0,1000,884M,3035,2026-05-20
國泰松江,190.0,200,1030,8883,3035,2026-05-20
玉山數位,191.0,0,1000,884M,3035,2026-05-20
國泰松江,191.0,1000,0,8883,3035,2026-05-20
國泰台南,186.0,2010,100,8884,3035,2026-05-20
國泰敦南,184.5,2000,1000,8888,3035,2026-05-20
國泰敦南,183.5,140,0,8888,3035,2026-05-20
國泰忠孝,192.5,0,1000,8887,3035,2026-05-20
國泰忠孝,191.0,1000,1000,8887,3035,2026-05-20
國泰忠孝,190.0,5000,400,8887,3035,2026-05-20
國泰忠孝,189.0,3000,0,8887,3035,2026-05-20
國泰忠孝,188.0,3,0,8887,3035,2026-05-20
國泰忠孝,186.0,2030,0,8887,3035,2026-05-20
國泰新莊,193.5,0,1000,8886,3035,2026-05-20
國泰新莊,192.5,4000,20,8886,3035,2026-05-20
國泰新莊,190.5,0,800,8886,3035,2026-05-20
國泰新莊,189.0,1,0,8886,3035,2026-05-20
國泰新莊,186.5,0,250,8886,3035,2026-05-20
國泰新莊,183.5,10,0,8886,3035,2026-05-20
國泰桃園,192.5,2000,0,8885,3035,2026-05-20
國泰桃園,191.5,1000,1000,8885,3035,2026-05-20
國泰桃園,190.5,1000,0,8885,3035,2026-05-20
國泰桃園,189.5,1000,1000,8885,3035,2026-05-20
國泰桃園,188.5,670,7030,8885,3035,2026-05-20
國泰桃園,187.5,1000,4000,8885,3035,2026-05-20
國泰桃園,186.0,2000,50,8885,3035,2026-05-20
國泰桃園,184.0,0,4000,8885,3035,2026-05-20
國泰台南,192.5,1000,0,8884,3035,2026-05-20
國泰台南,191.0,1010,1000,8884,3035,2026-05-20
國泰台南,189.5,3000,1000,8884,3035,2026-05-20
國泰台南,188.5,6037,0,8884,3035,2026-05-20
國泰台南,187.5,100,0,8884,3035,2026-05-20
國泰台南,184.5,0,1000,8884,3035,2026-05-20
國泰敦南,185.5,6137,3100,8888,3035,2026-05-20
玉山數位,190.0,0,200,884M,3035,2026-05-20
玉山數位,188.0,0,10,884M,3035,2026-05-20
玉山台中,188.5,200,0,884B,3035,2026-05-20
玉山台中,187.0,1001,0,884B,3035,2026-05-20
玉山士林,192.0,0,1000,884A,3035,2026-05-20
玉山士林,191.0,0,1000,884A,3035,2026-05-20
玉山士林,189.0,0,30,884A,3035,2026-05-20
玉山景美,193.0,0,131,8849,3035,2026-05-20
玉山景美,189.0,0,300,8849,3035,2026-05-20
玉山景美,187.5,0,1000,8849,3035,2026-05-20
玉山嘉義,192.5,4000,1000,8848,3035,2026-05-20
玉山嘉義,190.5,100,0,8848,3035,2026-05-20
玉山嘉義,189.5,0,1000,8848,3035,2026-05-20
玉山嘉義,188.5,2200,0,8848,3035,2026-05-20
玉山嘉義,187.5,10,0,8848,3035,2026-05-20
玉山嘉義,185.5,1000,0,8848,3035,2026-05-20
玉山台南,193.0,0,50,8847,3035,2026-05-20
玉山台南,190.5,50,0,8847,3035,2026-05-20
