securities_trader,price,buy,sell,securities_trader_id,stock_id,date
統一三重,158.5,0,1000,585J,3035,2026-04-16
統一東湖,158.0,0,200,585R,3035,2026-04-16
統一竹南,156.5,100,0,585m,3035,2026-04-16
統一士林,156.0,1000,0,585M,3035,2026-04-16
統一板橋,157.0,0,2000,585P,3035,2026-04-16
統一三多,157.0,0,1000,585Q,3035,2026-04-16
統一東湖,153.5,0,1000,585R,3035,2026-04-16
統一東湖,156.0,5000,20000,585R,3035,2026-04-16
統一東湖,157.0,0,10000,585R,3035,2026-04-16
統一南京,157.0,0,210,585U,3035,2026-04-16
統一南京,152.0,0,1000,585U,3035,2026-04-16
統一南京,155.0,0,1000,585U,3035,2026-04-16
統一三重,157.5,1000,0,585J,3035,2026-04-16
統一金門,157.0,65,0,585W,3035,2026-04-16
統一土城,157.5,100,0,585Y,3035,2026-04-16
統一松江,156.5,1150,2000,585Z,3035,2026-04-16
統一松江,158.0,100,100,585Z,3035,2026-04-16
統一松江,159.0,0,1000,585Z,3035,2026-04-16
日茂,156.5,0,1000,5960,3035,2026-04-16
?亞網路,155.0,0,4,6012,3035,2026-04-16
統一宜蘭,157.5,8,0,585S,3035,2026-04-16
統一三重,156.5,0,2000,585J,3035,2026-04-16
統一員林,156.0,1000,2000,585I,3035,2026-04-16
統一員林,159.0,2000,0,585I,3035,2026-04-16
統一新竹,158.5,0,2000,5857,3035,2026-04-16
統一嘉義,156.5,1000,3000,5858,3035,2026-04-16
統一嘉義,158.5,1000,1000,5858,3035,2026-04-16
統一屏東,156.0,0,5,5859,3035,2026-04-16
統一屏東,157.0,0,4000,5859,3035,2026-04-16
統一基隆,157.5,1000,0,585A,3035,2026-04-16
統一永和,156.5,0,1002,585B,3035,2026-04-16
統一永和,158.0,0,2000,585B,3035,2026-04-16
統一仁愛,156.5,2000,0,585c,3035,2026-04-16
統一三重,155.5,2000,0,585J,3035,2026-04-16
統一仁愛,157.5,0,1000,585c,3035,2026-04-16
統一新台中,156.0,1000,0,585D,3035,2026-04-16
統一新台中,157.5,5,2000,585D,3035,2026-04-16
統一新營,155.5,0,10000,585E,3035,2026-04-16
統一新營,158.5,10000,0,585E,3035,2026-04-16
統一彰化,157.0,1000,1000,585F,3035,2026-04-16
統一桃園,156.5,0,1000,585H,3035,2026-04-16
統一桃園,158.0,0,1000,585H,3035,2026-04-16
?亞網路,157.5,0,1000,6012,3035,2026-04-16
統一員林,157.0,100,0,585I,3035,2026-04-16
統一新台中,152.5,0,1000,585D,3035,2026-04-16
?亞鑫豐,157.5,8,1,601d,3035,2026-04-16
中銀台北,157.0,0,30000,6115,3035,2026-04-16
中銀員林,156.0,250,1000,6114,3035,2026-04-16
中信託新,159.0,0,1000,6165,3035,2026-04-16
中信松江,154.5,0,1000,6167,3035,2026-04-16
中信松江,157.0,0,1077,6167,3035,2026-04-16
中信嘉義,156.5,350,0,6168,3035,2026-04-16
中信嘉義,158.0,0,2000,6168,3035,2026-04-16
中信中壢,156.0,1000,0,616A,3035,2026-04-16
中信中壢,157.5,0,1000,616A,3035,2026-04-16
中信中壢,158.5,5000,900,616A,3035,2026-04-16
中信託高,157.0,0,100,616K,3035,2026-04-16
中信託新,156.5,2000,1000,6165,3035,2026-04-16
中信託高,159.0,100,0,616K,3035,2026-04-16
新百王,157.0,2000,1698,6210,3035,2026-04-16
新百王,158.0,100,1,6210,3035,2026-04-16
