securities_trader,price,buy,sell,securities_trader_id,stock_id,date
統一三多,201.0,12000,0,585Q,2603,2026-04-14
台新埔里,202.0,100,0,9B2Y,2603,2026-04-14
元大中北,200.5,150,0,980a,2603,2026-04-14
元大中北,201.5,0,1025,980a,2603,2026-04-14
元大斗六,200.5,5000,1000,980C,2603,2026-04-14
元大斗六,201.5,0,1000,980C,2603,2026-04-14
元大沙鹿,201.0,2000,1453,980d,2603,2026-04-14
元大北府,201.0,1000,0,980D,2603,2026-04-14
元大清水,200.5,0,1000,980e,2603,2026-04-14
元大清水,201.5,5,0,980e,2603,2026-04-14
元大台北,201.0,6000,3000,980h,2603,2026-04-14
元大竹科,200.5,0,2000,980K,2603,2026-04-14
元大竹科,201.5,1000,0,980K,2603,2026-04-14
元大南崁,200.5,1000,0,980Q,2603,2026-04-14
元大南崁,201.5,0,875,980Q,2603,2026-04-14
元大府城,201.0,200,10,980u,2603,2026-04-14
元大西屯,201.0,250,1002,980w,2603,2026-04-14
元大台中,200.5,9000,0,9812,2603,2026-04-14
元大台中,201.5,10,0,9812,2603,2026-04-14
元大大益,201.0,0,15000,9814,2603,2026-04-14
元大大灣,201.5,1,2000,9815,2603,2026-04-14
元大新竹,201.0,1000,110,9816,2603,2026-04-14
元大新竹,202.0,0,100,9816,2603,2026-04-14
元大松江,201.0,2000,0,9801,2603,2026-04-14
元大東泰,201.0,1080,0,9817,2603,2026-04-14
元大,202.0,30,3000,9800,2603,2026-04-14
富邦北港,201.0,100,0,969C,2603,2026-04-14
富邦台中,200.5,1000,1000,965K,2603,2026-04-14
富邦台中,201.5,3300,1000,965K,2603,2026-04-14
富邦彰化,201.0,2000,0,965U,2603,2026-04-14
富邦新店,200.5,1000,2000,9661,2603,2026-04-14
富邦新店,201.5,200,1090,9661,2603,2026-04-14
富邦敦南,201.0,350,0,9663,2603,2026-04-14
富邦桃園,200.5,30,300,9665,2603,2026-04-14
富邦桃園,201.5,1450,1000,9665,2603,2026-04-14
富邦南屯,201.5,13,80,9666,2603,2026-04-14
富邦台南,201.0,1118,330,9667,2603,2026-04-14
富邦左營,200.5,1006,0,966F,2603,2026-04-14
富邦左營,202.0,10,0,966F,2603,2026-04-14
富邦員林,201.0,1150,0,9672,2603,2026-04-14
富邦仁愛,200.5,1200,1020,9676,2603,2026-04-14
富邦仁愛,201.5,0,3087,9676,2603,2026-04-14
富邦三重,201.0,5,2100,9677,2603,2026-04-14
富邦宜蘭,200.5,2000,0,9686,2603,2026-04-14
富邦宜蘭,201.5,75,0,9686,2603,2026-04-14
富邦嘉義,201.0,3803,400,9692,2603,2026-04-14
富邦新營,201.0,30,50,9693,2603,2026-04-14
富邦虎尾,200.5,10,2000,9697,2603,2026-04-14
元大,201.0,209766,814000,9800,2603,2026-04-14
富邦高雄,201.0,3,5300,9659,2603,2026-04-14
元大歸仁,200.5,1020,200,981a,2603,2026-04-14
元大竹北,200.5,0,2000,981B,2603,2026-04-14
元大華山,200.5,1000,0,981U,2603,2026-04-14
元大華山,201.5,50,50,981U,2603,2026-04-14
元大新生,201.0,0,6000,981X,2603,2026-04-14
元大善化,201.0,1070,1000,981y,2603,2026-04-14
元大大統,200.5,1000,0,981z,2603,2026-04-14
