securities_trader,price,buy,sell,securities_trader_id,stock_id,date
玉山嘉義,213.0,2050,149,8848,2603,2026-05-07
永豐高雄,212.0,35,200,9A9e,2603,2026-05-07
永豐忠孝,213.5,50,1000,9A9D,2603,2026-05-07
永豐忠孝,212.5,10,1000,9A9D,2603,2026-05-07
永豐古亭,213.5,6300,0,9A9d,2603,2026-05-07
永豐古亭,212.5,1000,1000,9A9d,2603,2026-05-07
永豐員林,214.0,0,10,9A9C,2603,2026-05-07
永豐員林,213.0,0,300,9A9C,2603,2026-05-07
永豐永康,214.0,0,1000,9A9c,2603,2026-05-07
永豐永康,213.0,0,2310,9A9c,2603,2026-05-07
永豐中和,214.0,0,7,9A9B,2603,2026-05-07
永豐虎尾,213.5,100,0,9A9b,2603,2026-05-07
永豐羅東,214.0,0,1100,9A9A,2603,2026-05-07
永豐苓雅,214.5,0,1000,9A9a,2603,2026-05-07
永豐苓雅,213.5,102,12,9A9a,2603,2026-05-07
永豐苓雅,212.5,0,40,9A9a,2603,2026-05-07
永豐中壢,213.5,0,3900,9A99,2603,2026-05-07
永豐大園,214.5,2000,3000,9A98,2603,2026-05-07
永豐高雄,213.0,100,0,9A9e,2603,2026-05-07
永豐高雄,214.0,125,4200,9A9e,2603,2026-05-07
永豐內湖,212.0,0,6,9A9g,2603,2026-05-07
永豐內湖,214.0,0,104,9A9g,2603,2026-05-07
北城,214.5,0,1000,7750,2603,2026-05-07
北城,213.5,0,1000,7750,2603,2026-05-07
致和崇德,212.5,1000,1000,703B,2603,2026-05-07
致和東門,212.5,1000,0,7035,2603,2026-05-07
永豐台中,212.5,7,150,9A9L,2603,2026-05-07
永豐三重,214.0,1000,1051,9A9K,2603,2026-05-07
永豐三重,213.0,0,51,9A9K,2603,2026-05-07
永豐板新,214.0,0,2400,9A9J,2603,2026-05-07
永豐大園,213.5,50,1000,9A98,2603,2026-05-07
永豐板新,213.0,0,1000,9A9J,2603,2026-05-07
永豐嘉義,214.0,1000,20,9A9j,2603,2026-05-07
永豐嘉義,213.0,1010,200,9A9j,2603,2026-05-07
永豐新莊,214.0,94,5000,9A9H,2603,2026-05-07
永豐新莊,212.5,4,0,9A9H,2603,2026-05-07
永豐台南,214.0,2011,11121,9A9h,2603,2026-05-07
永豐台南,213.0,0,105,9A9h,2603,2026-05-07
永豐台南,212.0,1050,0,9A9h,2603,2026-05-07
永豐天母,213.5,100,100,9A9G,2603,2026-05-07
永豐板新,212.0,81,0,9A9J,2603,2026-05-07
國票綜合,213.5,4276,0,7790,2603,2026-05-07
永豐大園,212.5,12000,0,9A98,2603,2026-05-07
永豐萬盛,214.5,0,2000,9A92,2603,2026-05-07
元大小港,214.0,3000,205,989Z,2603,2026-05-07
元大小港,213.0,0,5000,989Z,2603,2026-05-07
元大基隆,214.0,0,5,989Y,2603,2026-05-07
元大基隆,212.0,500,0,989Y,2603,2026-05-07
元大三民,214.0,10,2000,989X,2603,2026-05-07
元大三民,213.0,0,200,989X,2603,2026-05-07
元大站前,214.0,0,4000,989W,2603,2026-05-07
元大站前,213.0,0,300,989W,2603,2026-05-07
元大北重,213.0,0,55,989V,2603,2026-05-07
元大北重,212.0,5,0,989V,2603,2026-05-07
元大大甲,214.0,0,1000,989U,2603,2026-05-07
元大大甲,213.0,9,0,989U,2603,2026-05-07
元大鹿港,214.5,0,2000,989S,2603,2026-05-07
元大鹿港,213.5,0,2500,989S,2603,2026-05-07
元大鹿港,212.5,0,1016,989S,2603,2026-05-07
元大汐止,214.0,6000,1100,989Q,2603,2026-05-07
元大汐止,213.0,50,1800,989Q,2603,2026-05-07
永豐金,211.5,2000,0,9A00,2603,2026-05-07
永豐金,212.5,5200,4385,9A00,2603,2026-05-07
永豐金,213.5,29858,38289,9A00,2603,2026-05-07
永豐金,214.5,10000,6000,9A00,2603,2026-05-07
永豐萬盛,213.5,500,252,9A92,2603,2026-05-07
永豐萬盛,212.5,0,2,9A92,2603,2026-05-07
永豐松山,214.5,0,4000,9A91,2603,2026-05-07
永豐松山,213.5,1000,0,9A91,2603,2026-05-07
永豐松山,212.5,1000,0,9A91,2603,2026-05-07
永豐敦南,214.0,4000,3000,9A8F,2603,2026-05-07
永豐敦南,213.0,0,50,9A8F,2603,2026-05-07
永豐敦南,212.0,0,400,9A8F,2603,2026-05-07
永豐新竹,214.5,0,1000,9A97,2603,2026-05-07
永豐敦北,214.0,0,1020,9A89,2603,2026-05-07
永豐匯立,214.5,65000,0,9A81,2603,2026-05-07
永豐匯立,213.5,52189,0,9A81,2603,2026-05-07
