securities_trader,price,buy,sell,securities_trader_id,stock_id,date
群益台中,201.5,0,1000,9184,2603,2026-04-24
群益台中,200.5,7,1000,9184,2603,2026-04-24
群益高雄,201.5,2100,0,9183,2603,2026-04-24
玉山大里,201.5,1,1000,884J,2603,2026-04-24
群益高雄,200.5,100,200,9183,2603,2026-04-24
群益館前,201.0,0,40,913Y,2603,2026-04-24
群益館前,200.0,100,0,913Y,2603,2026-04-24
群益北高,200.5,1,5000,913R,2603,2026-04-24
群益屏東,201.0,0,1000,913H,2603,2026-04-24
群益屏東,200.0,2000,0,913H,2603,2026-04-24
群益三重,201.0,15,80,913g,2603,2026-04-24
群益三重,200.0,1020,0,913g,2603,2026-04-24
群益基隆,201.0,0,1000,913E,2603,2026-04-24
群益基隆,199.5,1000,0,913E,2603,2026-04-24
群益潭子,200.0,300,0,913D,2603,2026-04-24
群益中港,201.5,4000,4000,9138,2603,2026-04-24
群益屏東,202.5,0,1000,913H,2603,2026-04-24
群益台南,201.0,0,1000,9185,2603,2026-04-24
群益彰化,200.5,20,0,9187,2603,2026-04-24
群益新竹,201.0,10,0,9186,2603,2026-04-24
群益竹南,201.5,1000,0,918i,2603,2026-04-24
群益中山,201.0,20,0,918H,2603,2026-04-24
群益中山,200.0,30,0,918H,2603,2026-04-24
群益新莊,200.5,2000,52,918G,2603,2026-04-24
群益大甲,201.0,10,0,918g,2603,2026-04-24
群益南京,200.5,1,0,918E,2603,2026-04-24
群益東門,201.0,0,200,918D,2603,2026-04-24
群益內湖,201.5,0,12000,918d,2603,2026-04-24
群益內湖,199.5,1000,0,918d,2603,2026-04-24
群益古亭,201.0,20,0,918C,2603,2026-04-24
群益鳳山,201.0,0,1000,918c,2603,2026-04-24
群益鳳山,200.0,3,0,918c,2603,2026-04-24
群益板橋,201.0,1000,0,918B,2603,2026-04-24
群益中壢,201.0,0,1000,918A,2603,2026-04-24
群益桃園,201.5,1000,0,9189,2603,2026-04-24
群益桃園,200.5,1000,1000,9189,2603,2026-04-24
群益三民,201.0,1000,30,9188,2603,2026-04-24
群益新竹,200.0,11,1000,9186,2603,2026-04-24
群益西松,200.5,0,1000,9136,2603,2026-04-24
玉山數位,200.5,7,0,884M,2603,2026-04-24
群益東大,200.5,50,0,9135,2603,2026-04-24
國泰忠孝,200.5,0,200,8887,2603,2026-04-24
國泰新莊,202.5,0,1000,8886,2603,2026-04-24
國泰新莊,201.0,100,1023,8886,2603,2026-04-24
國泰新莊,200.0,1020,0,8886,2603,2026-04-24
國泰桃園,201.0,545,90,8885,2603,2026-04-24
國泰桃園,200.0,2035,120,8885,2603,2026-04-24
國泰台南,201.5,0,1000,8884,2603,2026-04-24
國泰忠孝,201.5,0,1000,8887,2603,2026-04-24
國泰台南,200.5,5000,270,8884,2603,2026-04-24
國泰松江,200.5,130,2100,8883,2603,2026-04-24
國泰台中,201.5,105,2057,8882,2603,2026-04-24
國泰台中,200.5,1477,4085,8882,2603,2026-04-24
國泰高雄,202.5,0,2000,8881,2603,2026-04-24
國泰高雄,201.0,35,80,8881,2603,2026-04-24
國泰高雄,200.0,11660,800,8881,2603,2026-04-24
國泰綜合,201.0,677,0,8880,2603,2026-04-24
國泰松江,201.5,5000,120,8883,2603,2026-04-24
國泰敦南,199.5,1000,0,8888,2603,2026-04-24
國泰敦南,200.5,15767,23258,8888,2603,2026-04-24
國泰敦南,201.5,11525,11700,8888,2603,2026-04-24
群益開元,200.0,1000,0,9134,2603,2026-04-24
群益民權,200.0,125,100,9131,2603,2026-04-24
群益市府,200.5,2010,0,910D,2603,2026-04-24
群益海山,201.0,10000,1250,9108,2603,2026-04-24
群益高盛,201.0,0,109,9105,2603,2026-04-24
群益松山,200.0,1030,0,9103,2603,2026-04-24
群益,201.5,34000,15000,9100,2603,2026-04-24
群益,200.0,0,17435,9100,2603,2026-04-24
法銀巴黎,202.0,0,1000,8900,2603,2026-04-24
國泰新竹,200.5,80,0,888N,2603,2026-04-24
國泰綜合,200.0,71,0,8880,2603,2026-04-24
國泰板橋,202.0,0,1000,888K,2603,2026-04-24
國泰板橋,201.0,4411,2250,888K,2603,2026-04-24
國泰板橋,200.0,1884,10,888K,2603,2026-04-24
國泰館前,201.5,24,3050,888A,2603,2026-04-24
國泰館前,200.5,275,3065,888A,2603,2026-04-24
國泰敦南,202.5,0,1000,8888,2603,2026-04-24
群益西松,199.5,1000,0,9136,2603,2026-04-24
玉山大里,200.5,67,0,884J,2603,2026-04-24
玉山左營,200.0,0,5,884D,2603,2026-04-24
玉山新竹,200.5,50,600,884H,2603,2026-04-24
玉山雙和,201.5,0,17,8841,2603,2026-04-24
玉山雙和,200.0,5,14000,8841,2603,2026-04-24
玉山,202.0,10000,0,8840,2603,2026-04-24
玉山,201.0,50500,1030,8840,2603,2026-04-24
玉山,200.0,23232,0,8840,2603,2026-04-24
陽信石牌,201.0,2000,0,8711,2603,2026-04-24
陽信石牌,200.0,12000,0,8711,2603,2026-04-24
玉山新莊,200.5,38022,1000,8842,2603,2026-04-24
聯邦台南,200.5,30,0,8588,2603,2026-04-24
聯邦嘉義,202.0,0,1000,8582,2603,2026-04-24
聯邦高雄,200.0,1000,0,8581,2603,2026-04-24
聯邦,200.0,0,610,8580,2603,2026-04-24
新光桃園,200.0,2125,10,8565,2603,2026-04-24
新光台南,201.5,1000,0,8564,2603,2026-04-24
新光台南,200.5,2000,150,8564,2603,2026-04-24
新光新竹,201.5,2123,3000,8563,2603,2026-04-24
聯邦興中,200.5,2000,37,8587,2603,2026-04-24
玉山新莊,201.5,3000,2000,8842,2603,2026-04-24
玉山新莊,202.5,10000,0,8842,2603,2026-04-24
玉山高雄,200.5,6020,3100,8843,2603,2026-04-24
玉山左營,201.0,0,2004,884D,2603,2026-04-24
玉山城中,200.0,2000,25,884E,2603,2026-04-24
玉山城中,201.0,0,1000,884E,2603,2026-04-24
玉山桃園,200.0,17,1200,884F,2603,2026-04-24
玉山信義,200.0,5020,0,884C,2603,2026-04-24
玉山台中,201.5,0,2400,884B,2603,2026-04-24
玉山台中,200.5,165,12000,884B,2603,2026-04-24
玉山士林,201.5,2900,1100,884A,2603,2026-04-24
玉山士林,200.5,500,800,884A,2603,2026-04-24
玉山景美,201.5,1000,0,8849,2603,2026-04-24
玉山景美,200.5,50,0,8849,2603,2026-04-24
玉山嘉義,201.5,0,1000,8848,2603,2026-04-24
玉山嘉義,200.5,10,0,8848,2603,2026-04-24
玉山台南,201.0,22,2100,8847,2603,2026-04-24
玉山台南,200.0,1112,0,8847,2603,2026-04-24
玉山板橋,201.0,0,1000,8846,2603,2026-04-24
玉山板橋,200.0,1100,85,8846,2603,2026-04-24
新光新竹,200.5,1000,3000,8563,2603,2026-04-24
新光高雄,201.0,1120,1100,8562,2603,2026-04-24
新光高雄,200.0,4150,46,8562,2603,2026-04-24
新光台中,201.0,5,3000,8561,2603,2026-04-24
安泰大發,200.5,3000,0,8381,2603,2026-04-24
安泰,200.0,0,500,8380,2603,2026-04-24
國票安和,200.0,1100,0,779Z,2603,2026-04-24
國票博愛,200.5,5000,0,779z,2603,2026-04-24
國票博愛,199.5,1000,0,779z,2603,2026-04-24
國票彰化,200.0,0,1000,779W,2603,2026-04-24
國票桃園,201.0,0,1000,779r,2603,2026-04-24
國票九鼎,200.0,50,0,779P,2603,2026-04-24
國票南京,200.5,2000,0,779n,2603,2026-04-24
國票北高,202.0,35000,42000,779J,2603,2026-04-24
國票北高,200.0,1000,0,779J,2603,2026-04-24
國票和平,200.5,1,10000,779j,2603,2026-04-24
國票新莊,200.5,1000,0,779G,2603,2026-04-24
國票南科,201.0,0,4,779e,2603,2026-04-24
玉山桃園,201.0,44,1000,884F,2603,2026-04-24
玉山信義,201.0,0,1020,884C,2603,2026-04-24
群益永和,200.5,0,50,918J,2603,2026-04-24
安泰楠梓,200.0,0,2000,8382,2603,2026-04-24
玉山新竹,201.5,0,1000,884H,2603,2026-04-24
摩根大通,200.5,782000,411000,8440,2603,2026-04-24
摩根大通,202.5,21000,16000,8440,2603,2026-04-24
新光台中,200.0,4060,267,8561,2603,2026-04-24
新光,202.0,0,3000,8560,2603,2026-04-24
新光,201.0,158,6787,8560,2603,2026-04-24
新光,200.0,20325,5150,8560,2603,2026-04-24
中農,201.0,26,124,8520,2603,2026-04-24
京城嘉義,200.5,5,1000,8492,2603,2026-04-24
康和屏東,200.5,0,6000,845X,2603,2026-04-24
康和台北,200.0,10,0,845U,2603,2026-04-24
康和石牌,201.5,1000,0,845R,2603,2026-04-24
康和高雄,201.0,30,0,845J,2603,2026-04-24
康和板橋,200.0,2000,11000,845D,2603,2026-04-24
康和永和,200.0,1000,0,845B,2603,2026-04-24
康和內湖,201.0,75,20,845A,2603,2026-04-24
康和內湖,200.0,6000,1000,845A,2603,2026-04-24
康和嘉義,200.5,0,160,8459,2603,2026-04-24
康和新竹,200.5,0,1000,8456,2603,2026-04-24
康和,201.0,5,0,8450,2603,2026-04-24
摩根大通,201.5,742231,298000,8440,2603,2026-04-24
群益永和,202.0,0,1000,918J,2603,2026-04-24
永豐苓雅,201.5,1000,0,9A9a,2603,2026-04-24
群益東湖,201.5,0,1000,918K,2603,2026-04-24
華南斗六,200.0,0,6000,9327,2603,2026-04-24
華南斗六,202.5,0,1000,9327,2603,2026-04-24
華南潮州,200.5,1000,0,9328,2603,2026-04-24
華南朴子,200.5,1000,0,9329,2603,2026-04-24
華南楠梓,200.0,100,1000,9332,2603,2026-04-24
華南楠梓,201.0,6,0,9332,2603,2026-04-24
華南楠梓,202.0,1000,0,9332,2603,2026-04-24
華南南京,200.5,0,700,9326,2603,2026-04-24
華南世貿,200.5,30,1000,9334,2603,2026-04-24
華南內壢,201.5,10,0,9337,2603,2026-04-24
華南竹北,201.5,0,6,9339,2603,2026-04-24
華南頭份,201.0,150,2000,9343,2603,2026-04-24
華南板橋,200.5,0,36113,9349,2603,2026-04-24
永豐竹北,200.5,3000,0,9A9P,2603,2026-04-24
永豐桃盛,200.5,225,10,9A9N,2603,2026-04-24
永豐台中,201.5,0,10000,9A9L,2603,2026-04-24
華南內壢,200.0,0,1100,9337,2603,2026-04-24
華南忠孝,200.0,1000,0,9325,2603,2026-04-24
華南岡山,201.0,0,100,9324,2603,2026-04-24
華南岡山,200.0,1002,2600,9324,2603,2026-04-24
華南永昌,201.5,3000,12000,9300,2603,2026-04-24
華南台中,200.0,1007,0,9302,2603,2026-04-24
