securities_trader,price,buy,sell,securities_trader_id,stock_id,date
凱基八德,192.5,0,1200,921M,2603,2026-02-25
凱基新莊,191.5,100,0,921S,2603,2026-02-25
永豐中正,191.0,100,1000,9A9U,2603,2026-02-25
兆豐岡山,192.0,0,30,700s,2603,2026-02-25
元大新生,192.0,200,7000,981X,2603,2026-02-25
元大民雄,193.0,0,2000,981V,2603,2026-02-25
元大民雄,192.0,0,400,981V,2603,2026-02-25
元大華山,193.0,0,3000,981U,2603,2026-02-25
元大華山,192.0,1035,0,981U,2603,2026-02-25
元大崇德,192.0,0,1013,981S,2603,2026-02-25
元大崇德,191.0,10000,100,981S,2603,2026-02-25
元大屏南,193.0,0,17000,981r,2603,2026-02-25
元大屏南,192.0,2010,2000,981r,2603,2026-02-25
元大太平,192.5,0,6870,981Q,2603,2026-02-25
元大太平,191.5,0,1018,981Q,2603,2026-02-25
元大萬華,192.5,0,2000,981q,2603,2026-02-25
元大萬華,191.5,0,400,981q,2603,2026-02-25
元大松山,192.0,500,1080,981p,2603,2026-02-25
元大松山,191.0,1,0,981p,2603,2026-02-25
元大金門,192.5,0,5700,981N,2603,2026-02-25
元大金門,191.5,1100,0,981N,2603,2026-02-25
元大旗山,192.5,0,2000,981n,2603,2026-02-25
元大前金,193.0,5000,5110,981m,2603,2026-02-25
元大新生,193.0,0,4000,981X,2603,2026-02-25
元大前金,192.0,150,0,981m,2603,2026-02-25
元大善化,191.5,1,2020,981y,2603,2026-02-25
元大大統,191.0,4000,0,981z,2603,2026-02-25
元大六合,192.0,1000,0,982C,2603,2026-02-25
元大六合,191.0,0,10,982C,2603,2026-02-25
元大博愛,192.0,57,1550,982B,2603,2026-02-25
元大博愛,191.0,1000,200,982B,2603,2026-02-25
元大羅東,192.5,250,6100,982A,2603,2026-02-25
元大羅東,191.5,0,3000,982A,2603,2026-02-25
元大永康,192.5,0,2162,9829,2603,2026-02-25
元大永康,191.5,0,1100,9829,2603,2026-02-25
元大新營,193.0,0,1000,9825,2603,2026-02-25
元大新營,192.0,0,83,9825,2603,2026-02-25
元大新營,191.0,1000,0,9825,2603,2026-02-25
元大向上,192.0,500,458,9824,2603,2026-02-25
元大學府,193.0,0,3000,9822,2603,2026-02-25
元大學府,192.0,100,5321,9822,2603,2026-02-25
元大潮州,193.0,0,3000,981Z,2603,2026-02-25
元大潮州,192.0,0,215,981Z,2603,2026-02-25
元大潮州,191.0,0,50,981Z,2603,2026-02-25
元大大統,193.0,0,5000,981z,2603,2026-02-25
元大大統,192.0,1310,30,981z,2603,2026-02-25
元大善化,192.5,0,2143,981y,2603,2026-02-25
元大莒光,193.0,0,1000,981L,2603,2026-02-25
元大莒光,192.0,53,1000,981L,2603,2026-02-25
元大林園,193.0,0,1000,981K,2603,2026-02-25
元大竹北,192.5,22,1000,981B,2603,2026-02-25
元大竹北,191.5,200,2000,981B,2603,2026-02-25
元大三峽,192.0,0,185,981A,2603,2026-02-25
元大歸仁,193.0,0,1000,981a,2603,2026-02-25
元大歸仁,192.0,0,3000,981a,2603,2026-02-25
元大東泰,192.5,1000,4005,9817,2603,2026-02-25
元大東泰,191.5,6,0,9817,2603,2026-02-25
元大新竹,193.0,0,1000,9816,2603,2026-02-25
元大新竹,192.0,340,3400,9816,2603,2026-02-25
元大大灣,192.5,0,1050,9815,2603,2026-02-25
元大大灣,191.5,55,0,9815,2603,2026-02-25
元大大益,192.0,1000,1225,9814,2603,2026-02-25
元大大益,191.0,0,1014,9814,2603,2026-02-25
元大八德,193.0,0,1000,9813,2603,2026-02-25
元大八德,192.0,0,2,9813,2603,2026-02-25
元大台中,193.0,2,0,9812,2603,2026-02-25
元大台中,192.0,15,1100,9812,2603,2026-02-25
元大台中,191.0,0,414,9812,2603,2026-02-25
元大西屯,193.0,0,1001,980w,2603,2026-02-25
元大路竹,191.5,1000,6000,981C,2603,2026-02-25
元大南投,191.0,1000,0,981D,2603,2026-02-25
元大南投,192.0,0,11280,981D,2603,2026-02-25
元大南投,193.0,0,2000,981D,2603,2026-02-25
元大林園,192.0,0,100,981K,2603,2026-02-25
元大林園,191.0,0,200,981K,2603,2026-02-25
元大士林,192.5,100,5600,981j,2603,2026-02-25
元大士林,191.0,200,0,981j,2603,2026-02-25
元大天母,192.5,27000,1050,981I,2603,2026-02-25
元大天母,191.5,0,8000,981I,2603,2026-02-25
元大西螺,192.5,110,0,981i,2603,2026-02-25
元大西螺,191.5,10,0,981i,2603,2026-02-25
元大屏生,192.0,50,30,981h,2603,2026-02-25
元大六合,193.0,0,14000,982C,2603,2026-02-25
元大屏生,191.0,0,630,981h,2603,2026-02-25
元大彰化,191.5,100,2000,981G,2603,2026-02-25
元大大里,193.0,0,5000,981g,2603,2026-02-25
元大大里,192.0,105,100,981g,2603,2026-02-25
元大大里,191.0,162,0,981g,2603,2026-02-25
元大福營,193.0,0,1000,981F,2603,2026-02-25
元大福營,192.0,30,210,981F,2603,2026-02-25
元大福營,191.0,3000,100,981F,2603,2026-02-25
元大發財,192.0,500,2000,981E,2603,2026-02-25
元大佳里,192.0,0,4321,981e,2603,2026-02-25
元大彰化,192.5,1000,200,981G,2603,2026-02-25
元大忠鼎,192.5,0,465,982F,2603,2026-02-25
元大四維,192.5,100,23000,9831,2603,2026-02-25
元大敦化,192.0,0,30,9833,2603,2026-02-25
元大忠孝,191.5,10,2000,9871,2603,2026-02-25
元大基孝,192.5,0,30,986K,2603,2026-02-25
