broker_id,broker_name,buy,sell,net,net_lot
9600,富邦,1325952,735761,590191,590.2
1650,瑞銀,2212094,1715356,496738,496.7
9800,元大,2181191,1687534,493657,493.7
779c,國票敦北,487075,157622,329453,329.5
9A00,永豐金,827434,578466,248968,249.0
1590,花旗環球,841345,669611,171734,171.7
9200,凱基,343273,204000,139273,139.3
8900,法銀巴黎,199748,61076,138672,138.7
1440,美林,1685955,1565539,120416,120.4
5850,統一,520338,407723,112615,112.6
8880,國泰綜合,255723,153489,102234,102.2
6160,中國信託,136463,61608,74855,74.9
126U,宏遠館前,64314,4116,60198,60.2
8890,大和國泰,165631,105614,60017,60.0
6010,?亞,54000,0,54000,54.0
9300,華南永昌,117151,77437,39714,39.7
1030,土銀,41649,2285,39364,39.4
9100,群益,262938,224450,38488,38.5
8840,玉山,38602,5450,33152,33.2
9676,富邦仁愛,150162,119241,30921,30.9
