feature,importance
top6_max_wave_score,0.0537649282647424
top15_buy_stability_20d,0.03832052685352639
enh_cost_low,0.0378799497658964
enh_cost_high,0.035702628815403294
atr_pct_20d,0.03268305831612185
concentration_20d,0.03211046193169374
top6_avg_wave_score,0.02885931060180995
netbuy_5d_lot_pctile,0.028520715157850308
inst_trust_net_60d,0.023183940956529876
avg_turnover_20d,0.021664123240476996
enh_coherence_persistence_20d,0.02065376387221888
top15_buy_stability_10d,0.020513762678771204
netbuy_5d_lot,0.020351954373609784
pressure_ratio_20d,0.02017995796634316
inst_three_net_60d,0.018842735245048554
inst_trust_net_5d,0.018658583624744266
inst_foreign_net_60d,0.01842111413967246
enh_coherence_slope_5d,0.018358811872458723
enh_coherence_max_20d,0.018250539236894407
enh_cost_deviation,0.016839957772284322
sbl_volume_60d,0.016563342686609757
concentration_5d,0.016395502134719995
inst_trust_net_20d,0.01633373129417732
inst_foreign_net_20d,0.016247468580710318
buy_count_20d,0.0160404162476867
pressure_ratio_5d,0.01559031079867591
breadth_ratio_5d,0.014749132687167583
inst_foreign_net_5d,0.014399224106238806
inst_three_net_20d,0.01412975350811363
enh_coherence_today,0.014086623346307949
sbl_volume_5d,0.013792902808902933
geo_zscore,0.013748855963528154
breadth_ratio_20d,0.013608141212646929
netbuy_1d_lot_pctile,0.013447310984926656
margin_balance_20d_change,0.01342222752117295
netbuy_20d_lot_pctile,0.013122613365321813
buy_count_5d,0.013002014695491252
top15_buy_stability_20d_pctile,0.012645503776226046
breadth_5d,0.012614050964867797
final_score,0.011765704792359936
sell_count_20d,0.011750428788536386
breadth_20d,0.011620037322143215
sell_count_5d,0.011589860284127791
sbl_volume_20d,0.01071386063927369
netbuy_20d_lot,0.010572115494837867
inst_three_net_5d,0.010214070256288954
tv_score_pctile,0.009864257046925996
concentration_20d_pctile,0.009618481670458978
confirmation_score,0.009435636822945782
sbl_short_pressure_ratio_20d,0.008908699983374107
final_score_pctile,0.008762184738851913
regime_score_pctile,0.00842316239597208
avg_volume_20d_lot,0.008234048018013822
breadth_20d_pctile,0.00637850384148253
score,0.006286495595224434
breadth_5d_pctile,0.006209447006027081
pressure_ratio_20d_pctile,0.006110259226998237
top15_buy_stability_10d_pctile,0.005890888532017635
regime_score,0.004999894188890836
pressure_ratio_5d_pctile,0.004780267819610108
score_pctile,0.003841722317638314
concentration_5d_pctile,0.003830066304073194
tv_score,0.00265433353729704
netbuy_1d_lot,0.0015604195780957576
inst_three_align_5d,0.0013684920626604743
inst_bull_no_short_pressure_flag,0.0013123660618225468
margin_risk_flag,0.0010047228323898348
dist_risk_flag,0.000980739015261593
sbl_short_pressure_flag,0.0009547058039587996
invalid_flag,0.0009162690870321073
divergence_flag,0.0008627167121095366
geo_baseline_weight,0.0005186155341147789
inst_bear_with_short_pressure_flag,0.0003665753195953011
breakout_flag,0.0
