broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,32271143,16537878,15733265,15733.3
9600,富邦,8490585,6663856,1826729,1826.7
9238,凱基士林,1408770,106796,1301974,1302.0
9268,凱基台北,17743639,16509095,1234544,1234.5
1260,宏遠,1183585,88890,1094695,1094.7
6160,中國信託,1403758,515002,888756,888.8
8840,玉山,1521650,681887,839763,839.8
8888,國泰敦南,3397431,2560182,837249,837.2
779Z,國票安和,983279,173247,810032,810.0
9229,凱基中山,895970,141525,754445,754.4
5850,統一,1046477,414701,631776,631.8
9349,華南板橋,613167,89342,523825,523.8
9215,凱基高美,909775,417971,491804,491.8
8560,新光,1668694,1191872,476822,476.8
961C,富邦南京,624261,161904,462357,462.4
9871,元大忠孝,563882,120768,443114,443.1
6480,福邦,418010,6660,411350,411.4
8887,國泰忠孝,510022,144193,365829,365.8
9604,富邦陽明,665640,307314,358326,358.3
9B1g,台新高雄,662761,312952,349809,349.8
