broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,17826633,9618017,8208616,8208.6
9600,富邦,13714664,6950202,6764462,6764.5
9800,元大,21602904,15315212,6287692,6287.7
1440,美林,15229007,10250901,4978106,4978.1
9268,凱基台北,15109493,10450653,4658840,4658.8
5850,統一,6607115,2371797,4235318,4235.3
1650,瑞銀,10508134,6837108,3671026,3671.0
9227,凱基城中,7173310,3502780,3670530,3670.5
1560,港商野村,3819295,211179,3608116,3608.1
779c,國票敦北,3201414,749458,2451956,2452.0
1590,花旗環球,5362188,2963479,2398709,2398.7
5854,統一城中,2291950,740839,1551111,1551.1
779Z,國票安和,2963043,1487055,1475988,1476.0
1470,台灣摩根,17339895,15873761,1466134,1466.1
9100,群益,4636263,3587617,1048646,1048.6
1020,合庫,1061082,214279,846803,846.8
9A00,永豐金,4066786,3389451,677335,677.3
920F,凱基站前,953420,454174,499246,499.2
779z,國票博愛,557089,137990,419099,419.1
913Y,群益館前,722878,326804,396074,396.1
