broker_id,broker_name,buy,sell,net,net_lot
1480,美商高盛,1449121,973181,475940,475.9
1440,美林,835882,580688,255194,255.2
8890,大和國泰,110000,0,110000,110.0
1360,港麥格理,100110,25203,74907,74.9
9B25,台新五權,89943,37751,52192,52.2
9A00,永豐金,257168,209183,47985,48.0
1470,台灣摩根,1269588,1236661,32927,32.9
981Q,元大太平,32359,1059,31300,31.3
9872,元大復北,63571,32673,30898,30.9
6160,中國信託,90133,64187,25946,25.9
9654,富邦永和,36493,13812,22681,22.7
5380,第一金證,35496,14050,21446,21.4
9300,華南永昌,93256,72035,21221,21.2
8848,玉山嘉義,38249,18323,19926,19.9
6164,中信託文,39477,19748,19729,19.7
601d,?亞鑫豐,23574,4638,18936,18.9
8843,玉山高雄,40070,22451,17619,17.6
888A,國泰館前,64057,47083,16974,17.0
8887,國泰忠孝,31654,14865,16789,16.8
981X,元大新生,28757,12774,15983,16.0
