broker_id,broker_name,buy,sell,net,net_lot
9B00,台新證券,92000,11000,81000,81.0
9A89,永豐敦北,62000,1,61999,62.0
601d,?亞鑫豐,58000,3000,55000,55.0
980a,元大中北,40000,2589,37411,37.4
9800,元大,110000,78178,31822,31.8
9B2r,台新城東,31500,0,31500,31.5
989k,元大古亭,38000,10000,28000,28.0
1230,彰銀,25000,0,25000,25.0
9B1h,台新台中,28000,4000,24000,24.0
9A9B,永豐中和,25000,1000,24000,24.0
5266,美好中壢,55000,32000,23000,23.0
9854,元大興安,24000,1000,23000,23.0
9B2P,台新同大,32000,11000,21000,21.0
8840,玉山,39000,18040,20960,21.0
8843,玉山高雄,43000,23000,20000,20.0
9226,凱基汐止,20000,2000,18000,18.0
6464,大昌新店,23000,5000,18000,18.0
989j,元大樹林,48000,31000,17000,17.0
884F,玉山桃園,27000,10000,17000,17.0
888K,國泰板橋,37000,21000,16000,16.0
