broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,102614171,38543228,64070943,64070.9
8440,摩根大通,78105601,41262748,36842853,36842.9
1480,美商高盛,75246038,43205300,32040738,32040.7
1440,美林,36829752,16171000,20658752,20658.8
9800,元大,192560711,174103340,18457371,18457.4
1650,瑞銀,45358010,32960503,12397507,12397.5
8880,國泰綜合,13495899,3999361,9496538,9496.5
9268,凱基台北,85150691,77288534,7862157,7862.2
9600,富邦,26016091,18263142,7752949,7752.9
9100,群益,17728208,10900309,6827899,6827.9
920F,凱基站前,10685556,4358792,6326764,6326.8
8900,法銀巴黎,6444264,363269,6080995,6081.0
9A00,永豐金,19247576,14151422,5096154,5096.2
779c,國票敦北,6204988,1848474,4356514,4356.5
1360,港麥格理,4784204,1225577,3558627,3558.6
1560,港商野村,13747347,10359074,3388273,3388.3
5850,統一,7618633,4652737,2965896,2965.9
6010,?亞,2552000,24125,2527875,2527.9
1260,宏遠,3116163,800714,2315449,2315.4
9207,凱基永和,2497111,354530,2142581,2142.6
