broker_id,broker_name,buy,sell,net,net_lot
1650,瑞銀,4841000,3111000,1730000,1730.0
8440,摩根大通,3552000,2576000,976000,976.0
9268,凱基台北,13296314,12335498,960816,960.8
9600,富邦,1850189,1160222,689967,690.0
8888,國泰敦南,5096342,4645287,451055,451.1
9100,群益,2059797,1675235,384562,384.6
9A8F,永豐敦南,621755,293083,328672,328.7
9208,凱基桃園,549716,230821,318895,318.9
9A00,永豐金,1681149,1406073,275076,275.1
981X,元大新生,288033,27060,260973,261.0
9202,凱基中港,455423,218892,236531,236.5
1470,台灣摩根,8832200,8619000,213200,213.2
1020,合庫,290659,138349,152310,152.3
1480,美商高盛,6759040,6607016,152024,152.0
884A,玉山士林,504985,359077,145908,145.9
983B,元大林森,231064,97756,133308,133.3
9B2u,台新世貿,235788,113140,122648,122.6
981j,元大士林,331177,210971,120206,120.2
8560,新光,1892984,1779751,113233,113.2
700C,兆豐來福,245175,138391,106784,106.8
