broker_id,broker_name,buy,sell,net,net_lot
1470,摩根士丹利,740000,395000,345000,345.0
9858,元大龍潭,270517,5126,265391,265.4
1440,美林證券,478000,261000,217000,217.0
8564,新光台南,142141,25126,117015,117.0
884H,玉山新竹,95200,4690,90510,90.5
989B,元大台中港,117000,37383,79617,79.6
888A,國泰館前,109494,31399,78095,78.1
601d,奔亞鑫豐,90700,18000,72700,72.7
980K,元大竹科,94300,21920,72380,72.4
981B,元大竹北,92700,29001,63699,63.7
9897,元大土城,55000,0,55000,55.0
9333,永昌長虹,57001,3482,53519,53.5
8842,玉山新莊,60000,9000,51000,51.0
913D,群益潭子,58050,8000,50050,50.0
700V,兆豐新竹,77000,27000,50000,50.0
585Y,統一土城,54000,6000,48000,48.0
884J,玉山大里,69370,21400,47970,48.0
8843,玉山高雄,68280,21498,46782,46.8
8711,陽信石牌,82060,36000,46060,46.1
8565,新光桃園,108100,64209,43891,43.9
