broker_id,broker_name,buy,sell,net,net_lot
8440,摩根大通,11946621,5714542,6232079,6232.1
1470,台灣摩根,9249636,3030478,6219158,6219.2
1480,美商高盛,7534016,3937996,3596020,3596.0
1650,瑞銀,6265409,2672199,3593210,3593.2
9268,凱基台北,6139989,3723011,2416978,2417.0
1440,美林,3831844,1821680,2010164,2010.2
1590,花旗環球,2384664,977470,1407194,1407.2
8900,法銀巴黎,693774,109542,584232,584.2
9A9H,永豐新莊,612865,39756,573109,573.1
700S,兆豐大同,380620,2510,378110,378.1
9A81,永豐匯立,349724,9288,340436,340.4
1260,宏遠,342562,34962,307600,307.6
9A9U,永豐中正,359544,62176,297368,297.4
9800,元大,5731076,5476839,254237,254.2
9300,華南永昌,344627,92569,252058,252.1
7000,兆豐,220330,31513,188817,188.8
9200,凱基,476498,297617,178881,178.9
9317,華南林口,262834,129560,133274,133.3
5380,第一金證,112767,19537,93230,93.2
779c,國票敦北,106000,18810,87190,87.2
