broker_id,broker_name,buy,sell,net,net_lot
1590,花旗環球,33215448,20490040,12725408,12725.4
1560,港商野村,30639359,20296705,10342654,10342.7
1440,美林,53388052,47177328,6210724,6210.7
1470,台灣摩根,108290706,102466492,5824214,5824.2
1650,瑞銀,39501002,34718031,4782971,4783.0
8888,國泰敦南,121029149,117179762,3849387,3849.4
8440,摩根大通,41313288,38035060,3278228,3278.2
9A81,永豐匯立,2472588,206000,2266588,2266.6
8492,京城嘉義,4588480,2650875,1937605,1937.6
961C,富邦南京,6721583,5178854,1542729,1542.7
981r,元大屏南,6379363,4882626,1496737,1496.7
5850,統一,19058399,17703697,1354702,1354.7
918i,群益竹南,5610463,4271622,1338841,1338.8
981h,元大屏生,4765480,3453107,1312373,1312.4
9272,凱基竹科,4561358,3276772,1284586,1284.6
9308,華南麻豆,3789540,2512574,1276966,1277.0
9A9s,永豐彰化,2326241,1224340,1101901,1101.9
8842,玉山新莊,5923286,4838266,1085020,1085.0
5852,統一敦南,2762678,1710282,1052396,1052.4
9655,富邦板橋,8902352,7861778,1040574,1040.6
