feature,importance
geo_zscore,0.06596351378105407
enh_cost_low,0.0628049697407205
atr_pct_20d,0.046967643233587576
netbuy_20d_lot,0.034203362520918476
enh_cost_high,0.03229268673835258
netbuy_20d_lot_pctile,0.031128403079066894
inst_trust_net_20d,0.02840453076667471
sbl_volume_20d,0.02820955890490837
margin_balance_20d_change,0.02500252043229606
inst_foreign_net_60d,0.023896543566077188
sell_count_20d,0.022727801764385692
sbl_volume_60d,0.021428184888745837
inst_three_net_5d,0.02083198051174588
top15_buy_stability_20d,0.020157030912448932
inst_foreign_net_20d,0.019602801497797015
inst_foreign_net_5d,0.0193247104924287
avg_turnover_20d,0.019008592579832267
regime_score_pctile,0.01849130181669712
sbl_short_pressure_ratio_20d,0.01797088795558501
avg_volume_20d_lot,0.017746874844160234
breadth_20d,0.017366110733839438
top15_buy_stability_20d_pctile,0.017201284400361453
inst_three_net_60d,0.017047115992697637
pressure_ratio_20d,0.015109052347330777
enh_cost_deviation,0.014912061416811156
concentration_20d,0.014396315211943053
pressure_ratio_5d,0.013473932515593121
top6_max_wave_score,0.01312958811188625
buy_count_20d,0.012618757068385514
inst_three_net_20d,0.012146881907167834
concentration_5d,0.01178865500456283
enh_coherence_persistence_20d,0.011702433965571428
top15_buy_stability_10d,0.011609744691394704
top6_avg_wave_score,0.011384958723490822
breadth_ratio_20d,0.010997893191877564
inst_trust_net_60d,0.010855608253331768
regime_score,0.010135712071757903
inst_trust_net_5d,0.009596686414222644
netbuy_5d_lot_pctile,0.009388386388074113
score,0.008955411966084681
top15_buy_stability_10d_pctile,0.008945229537083647
sbl_volume_5d,0.008699934976011483
buy_count_5d,0.008604941378546168
pressure_ratio_20d_pctile,0.008368631845714644
breadth_5d,0.00832723552912064
breadth_ratio_5d,0.008311633459267756
enh_coherence_max_20d,0.007940164267695726
breadth_20d_pctile,0.007797231657604924
confirmation_score,0.007403040906311702
enh_coherence_slope_5d,0.007076822540168023
final_score,0.007027916204030952
concentration_20d_pctile,0.006586530560384295
margin_risk_flag,0.006456751885002744
breadth_5d_pctile,0.00598212424656386
netbuy_1d_lot_pctile,0.00591736934607334
sell_count_5d,0.005736029666146565
enh_coherence_today,0.00566739754803788
score_pctile,0.005499717032720185
tv_score_pctile,0.005302162869594831
inst_bull_no_short_pressure_flag,0.004795308843081149
geo_baseline_weight,0.004580695018238151
final_score_pctile,0.003654609845542929
concentration_5d_pctile,0.0036398977580191926
netbuy_5d_lot,0.003587426288320467
netbuy_1d_lot,0.003098611551717663
pressure_ratio_5d_pctile,0.002802387496998616
divergence_flag,0.002425561364788214
inst_three_align_5d,0.002183284487271001
invalid_flag,0.0016654913087429755
tv_score,0.0008716761448606807
dist_risk_flag,0.0007607828863878975
sbl_short_pressure_flag,0.00030291114608374677
inst_bear_with_short_pressure_flag,2.149422396217711e-18
breakout_flag,0.0
