broker_id,broker_name,buy,sell,net,net_lot
1440,美林,7644990,3374008,4270982,4271.0
9200,凱基,2671570,1016063,1655507,1655.5
1590,花旗環球,3875694,2682436,1193258,1193.3
9800,元大,9575945,8720583,855362,855.4
7000,兆豐,512377,137084,375293,375.3
1560,港商野村,1661926,1334536,327390,327.4
9A00,永豐金,2147121,1885056,262065,262.1
779z,國票博愛,269339,39934,229405,229.4
9300,華南永昌,527258,324424,202834,202.8
9100,群益,947462,778150,169312,169.3
9216,凱基信義,485509,317070,168439,168.4
5850,統一,1347531,1200961,146570,146.6
6160,中國信託,724671,586179,138492,138.5
8840,玉山,329134,193385,135749,135.7
700P,兆豐南京,197515,84444,113071,113.1
984K,元大館前,211825,102792,109033,109.0
1480,美商高盛,5553847,5449856,103991,104.0
9229,凱基中山,279118,176205,102913,102.9
9A9G,永豐天母,132126,38864,93262,93.3
8560,新光,554578,470375,84203,84.2
