broker_id,broker_name,buy,sell,net,net_lot
5850,統一,7005673,1439924,5565749,5565.7
9100,群益,5144663,694078,4450585,4450.6
9A81,永豐匯立,8334921,5020964,3313957,3314.0
9800,元大,22672508,19454235,3218273,3218.3
9200,凱基,7542125,5013711,2528414,2528.4
8890,大和國泰,2590108,1293100,1297008,1297.0
9B20,台新台北,1682091,457069,1225022,1225.0
8880,國泰綜合,2515472,1344991,1170481,1170.5
6160,中國信託,2745383,1755476,989907,989.9
1440,美林,16778775,15901740,877035,877.0
8888,國泰敦南,4096348,3227962,868386,868.4
961C,富邦南京,1212410,411612,800798,800.8
1260,宏遠,1475805,819708,656097,656.1
7000,兆豐,974199,337013,637186,637.2
9227,凱基城中,1102592,558184,544408,544.4
5383,第一高雄,858550,380204,478346,478.3
9A9g,永豐內湖,1177540,736504,441036,441.0
8560,新光,2314504,1894260,420244,420.2
9A00,永豐金,5657294,5266102,391192,391.2
9101,群益敦南,563016,179656,383360,383.4
