feature,importance
margin_balance_20d_change,0.06526084000857611
enh_cost_low,0.05467383376217951
geo_zscore,0.05213026020597909
inst_foreign_net_20d,0.046277221746533856
enh_cost_high,0.03861328204437207
top15_buy_stability_20d_pctile,0.032509318387430895
top15_buy_stability_20d,0.03164477784319049
avg_turnover_20d,0.029745683199609577
inst_three_net_20d,0.027007542480014926
pressure_ratio_20d,0.026229319998752016
inst_trust_net_20d,0.025711328396650263
inst_foreign_net_60d,0.02454955140689793
breadth_20d,0.02431389873015666
atr_pct_20d,0.0223087276703576
enh_cost_deviation,0.02176351817747492
inst_three_net_60d,0.021442422024044262
sbl_volume_60d,0.019340440855829217
sbl_volume_20d,0.01876148992887642
buy_count_20d,0.01868274479260305
netbuy_20d_lot,0.017735128182389544
pressure_ratio_5d,0.01682068844694832
breadth_ratio_20d,0.015599067464608136
margin_risk_flag,0.0147628993190014
concentration_20d,0.014533132692943691
score,0.01426148314399178
confirmation_score,0.013573123458361107
enh_coherence_max_20d,0.013331424410333999
netbuy_20d_lot_pctile,0.013237648818065686
sbl_short_pressure_ratio_20d,0.01310907032719106
score_pctile,0.013025230215281715
concentration_5d,0.012405016626769998
regime_score_pctile,0.01239229936925935
sell_count_20d,0.01198724492000304
avg_volume_20d_lot,0.01194723466680955
pressure_ratio_20d_pctile,0.01085151481669968
inst_trust_net_5d,0.010709912021497967
final_score_pctile,0.009948080260422005
final_score,0.00973813100019425
enh_coherence_persistence_20d,0.009596981399610682
buy_count_5d,0.009476279063523173
top15_buy_stability_10d,0.009410176058742406
sbl_volume_5d,0.009049337020851166
inst_trust_net_60d,0.008284980965529527
sell_count_5d,0.008227954586497692
breadth_5d,0.007770772699820798
inst_foreign_net_5d,0.007202629625271576
concentration_20d_pctile,0.006622472356304552
netbuy_5d_lot_pctile,0.0062279627802277904
top15_buy_stability_10d_pctile,0.005699559439398229
regime_score,0.005415039361766577
pressure_ratio_5d_pctile,0.005313745390930471
breadth_20d_pctile,0.004906932847035864
inst_three_net_5d,0.004762400063605017
netbuy_1d_lot_pctile,0.004609153541011235
breadth_5d_pctile,0.0040443020260067745
netbuy_5d_lot,0.003953604454323581
breadth_ratio_5d,0.0039450123804572355
enh_coherence_today,0.0039001560527920994
concentration_5d_pctile,0.003545728591882835
top6_avg_wave_score,0.003438767739956584
enh_coherence_slope_5d,0.00281143230514394
tv_score_pctile,0.0023573313537458454
top6_max_wave_score,0.002112434606221016
inst_bull_no_short_pressure_flag,0.0014955229144485848
geo_baseline_weight,0.0010589509137255944
dist_risk_flag,0.0010036697834863507
netbuy_1d_lot,0.0006824925412555108
inst_three_align_5d,0.0006399298896917707
invalid_flag,0.0006193734643566146
divergence_flag,0.0003573835041730623
tv_score,0.000291199179976973
inst_bear_with_short_pressure_flag,0.00012437238872027394
sbl_short_pressure_flag,0.00010742688920744696
breakout_flag,0.0
