broker_id,broker_name,buy,sell,net,net_lot
1470,台灣摩根,17256000,13706886,3549114,3549.1
1650,瑞銀,12571920,9345508,3226412,3226.4
1360,港麥格理,2873600,589200,2284400,2284.4
7000,兆豐,2765460,632235,2133225,2133.2
1260,宏遠,2116625,531625,1585000,1585.0
1480,美商高盛,15568500,14191474,1377026,1377.0
9216,凱基信義,1332901,110500,1222401,1222.4
9875,元大永寧,1128504,172016,956488,956.5
9B20,台新台北,3664456,2775970,888486,888.5
9800,元大,24058316,23213646,844670,844.7
5850,統一,2305980,1466616,839364,839.4
9308,華南麻豆,1062694,229103,833591,833.6
779Z,國票安和,2383293,1591521,791772,791.8
1590,花旗環球,2005000,1276100,728900,728.9
9B00,台新證券,3465792,2764947,700845,700.8
779c,國票敦北,849402,278491,570911,570.9
9333,華南長虹,548530,97460,451070,451.1
983Z,元大鳳山,541948,108285,433663,433.7
585U,統一南京,772987,349331,423656,423.7
1440,美林,5360000,4944000,416000,416.0
