securities_trader,price,buy,sell,securities_trader_id,stock_id,date
凱基三多,2270.0,10,50,9275,2330,2026-05-12
凱基苗栗,2220.0,16,0,9276,2330,2026-05-12
凱基苗栗,2230.0,315,0,9276,2330,2026-05-12
凱基苗栗,2240.0,15,292,9276,2330,2026-05-12
凱基三多,2260.0,110,155,9275,2330,2026-05-12
凱基苗栗,2250.0,40,0,9276,2330,2026-05-12
凱基竹東,2220.0,192,0,9273,2330,2026-05-12
凱基永康,2215.0,10,0,9278,2330,2026-05-12
凱基永康,2225.0,1099,1004,9278,2330,2026-05-12
凱基永康,2235.0,4672,1000,9278,2330,2026-05-12
凱基永康,2245.0,528,3000,9278,2330,2026-05-12
凱基永康,2255.0,1034,240,9278,2330,2026-05-12
凱基永康,2265.0,142,0,9278,2330,2026-05-12
凱基永康,2275.0,1000,0,9278,2330,2026-05-12
凱基苗栗,2260.0,45,5,9276,2330,2026-05-12
凱基三多,2250.0,176,31020,9275,2330,2026-05-12
凱基鳳山,2235.0,1219,0,9274,2330,2026-05-12
凱基三多,2230.0,1058,80020,9275,2330,2026-05-12
凱基竹東,2230.0,52,0,9273,2330,2026-05-12
凱基斗六,2220.0,6,0,9281,2330,2026-05-12
凱基竹科,2275.0,5,105,9272,2330,2026-05-12
凱基竹科,2265.0,1,12,9272,2330,2026-05-12
凱基竹科,2255.0,115,156,9272,2330,2026-05-12
凱基竹東,2240.0,495,0,9273,2330,2026-05-12
凱基竹東,2250.0,34,60,9273,2330,2026-05-12
凱基三多,2240.0,36,0,9275,2330,2026-05-12
凱基竹東,2260.0,1,93,9273,2330,2026-05-12
凱基鳳山,2215.0,0,13,9274,2330,2026-05-12
凱基鳳山,2225.0,275,0,9274,2330,2026-05-12
凱基鳳山,2245.0,1354,1,9274,2330,2026-05-12
凱基鳳山,2255.0,2191,0,9274,2330,2026-05-12
凱基鳳山,2265.0,155,260,9274,2330,2026-05-12
凱基鳳山,2275.0,10,0,9274,2330,2026-05-12
凱基三多,2220.0,94,100000,9275,2330,2026-05-12
凱基竹東,2270.0,500,270,9273,2330,2026-05-12
凱基斗六,2230.0,162,2,9281,2330,2026-05-12
凱基內湖,2255.0,10,2000,9287,2330,2026-05-12
凱基斗六,2250.0,1,1050,9281,2330,2026-05-12
凱基埔墘,2230.0,81,0,9288,2330,2026-05-12
凱基埔墘,2240.0,2267,0,9288,2330,2026-05-12
凱基埔墘,2250.0,33,3031,9288,2330,2026-05-12
凱基埔墘,2260.0,47,28,9288,2330,2026-05-12
凱基埔墘,2270.0,0,50,9288,2330,2026-05-12
凱基興隆,2215.0,20,0,9289,2330,2026-05-12
凱基興隆,2225.0,395,300,9289,2330,2026-05-12
凱基埔墘,2220.0,81,1050,9288,2330,2026-05-12
凱基興隆,2235.0,1351,0,9289,2330,2026-05-12
凱基興隆,2255.0,10,60,9289,2330,2026-05-12
凱基竹科,2245.0,7348,2270,9272,2330,2026-05-12
凱基大安,2245.0,2057,100,9291,2330,2026-05-12
凱基興隆,2265.0,12,76,9289,2330,2026-05-12
凱基興隆,2275.0,15,2000,9289,2330,2026-05-12
凱基大安,2225.0,140,1000,9291,2330,2026-05-12
凱基大安,2235.0,137,20,9291,2330,2026-05-12
凱基興隆,2245.0,28089,17,9289,2330,2026-05-12
凱基內湖,2275.0,102,0,9287,2330,2026-05-12
凱基內湖,2265.0,100,0,9287,2330,2026-05-12
凱基內湖,2245.0,22,1000,9287,2330,2026-05-12
凱基斗六,2265.0,0,2,9281,2330,2026-05-12
凱基北門,2215.0,20,0,9283,2330,2026-05-12
凱基北門,2225.0,126,25,9283,2330,2026-05-12
凱基北門,2235.0,319,10,9283,2330,2026-05-12
凱基北門,2245.0,90,5010,9283,2330,2026-05-12
凱基北門,2255.0,331,284,9283,2330,2026-05-12
凱基北門,2265.0,1,40,9283,2330,2026-05-12
凱基北門,2275.0,0,1600,9283,2330,2026-05-12
凱基中壢,2215.0,100,13,9285,2330,2026-05-12
凱基中壢,2225.0,784,1120,9285,2330,2026-05-12
凱基中壢,2235.0,292,50,9285,2330,2026-05-12
凱基中壢,2245.0,519,0,9285,2330,2026-05-12
凱基中壢,2255.0,1127,1023,9285,2330,2026-05-12
凱基中壢,2265.0,1220,329,9285,2330,2026-05-12
凱基中壢,2275.0,4,1001,9285,2330,2026-05-12
凱基內湖,2225.0,221,0,9287,2330,2026-05-12
凱基內湖,2235.0,2165,50,9287,2330,2026-05-12
凱基斗六,2240.0,2,0,9281,2330,2026-05-12
凱基竹科,2235.0,2805,1000,9272,2330,2026-05-12
凱基科園,2230.0,784,50,9254,2330,2026-05-12
凱基竹科,2215.0,1105,0,9272,2330,2026-05-12
凱基士林,2275.0,1005,3000,9238,2330,2026-05-12
凱基市政,2215.0,2016,0,9239,2330,2026-05-12
凱基市政,2225.0,1432,1587,9239,2330,2026-05-12
凱基市政,2235.0,3439,38,9239,2330,2026-05-12
凱基市政,2245.0,17691,50011,9239,2330,2026-05-12
凱基市政,2255.0,42,210,9239,2330,2026-05-12
凱基市政,2265.0,1002,2088,9239,2330,2026-05-12
凱基士林,2265.0,17,1212,9238,2330,2026-05-12
凱基市政,2275.0,0,155,9239,2330,2026-05-12
凱基嘉義,2230.0,250,2,9252,2330,2026-05-12
凱基嘉義,2240.0,230,1002,9252,2330,2026-05-12
凱基嘉義,2250.0,106,1013,9252,2330,2026-05-12
凱基嘉義,2260.0,15,198,9252,2330,2026-05-12
凱基嘉義,2270.0,0,2,9252,2330,2026-05-12
凱基科園,2220.0,229,1000,9254,2330,2026-05-12
凱基科園,2240.0,211,450,9254,2330,2026-05-12
凱基嘉義,2220.0,1366,0,9252,2330,2026-05-12
凱基科園,2250.0,3354,0,9254,2330,2026-05-12
凱基士林,2255.0,25,102,9238,2330,2026-05-12
凱基士林,2235.0,3260,0,9238,2330,2026-05-12
凱基虎尾,2225.0,225,0,9236,2330,2026-05-12
凱基虎尾,2235.0,1040,0,9236,2330,2026-05-12
凱基永華,2275.0,63,1000,9235,2330,2026-05-12
凱基永華,2265.0,70,1000,9235,2330,2026-05-12
凱基大安,2255.0,110,0,9291,2330,2026-05-12
凱基虎尾,2245.0,4,0,9236,2330,2026-05-12
凱基虎尾,2255.0,100107,120010,9236,2330,2026-05-12
凱基士林,2245.0,4182,2000,9238,2330,2026-05-12
凱基虎尾,2265.0,13,0,9236,2330,2026-05-12
凱基敦北,2225.0,737,0,9237,2330,2026-05-12
凱基敦北,2235.0,152,0,9237,2330,2026-05-12
凱基敦北,2245.0,158,0,9237,2330,2026-05-12
凱基敦北,2255.0,10,40,9237,2330,2026-05-12
凱基敦北,2265.0,51,193,9237,2330,2026-05-12
凱基士林,2215.0,0,3000,9238,2330,2026-05-12
