securities_trader,price,buy,sell,securities_trader_id,stock_id,date
康和高雄,1945.0,2136,0,845J,2330,2026-04-09
康和台南,1935.0,3142,105,8458,2330,2026-04-09
康和新竹,1945.0,101,0,8456,2330,2026-04-09
康和新竹,1935.0,33,20,8456,2330,2026-04-09
康和延平,1950.0,0,20,8451,2330,2026-04-09
康和台中,1940.0,2046,3595,8455,2330,2026-04-09
康和延平,1940.0,35,2642,8451,2330,2026-04-09
康和,1955.0,0,1000,8450,2330,2026-04-09
康和,1945.0,200000,1000,8450,2330,2026-04-09
康和台中,1950.0,0,62,8455,2330,2026-04-09
康和台南,1945.0,2000,145,8458,2330,2026-04-09
康和內湖,1935.0,3069,1160,845A,2330,2026-04-09
康和嘉義,1945.0,1005,4500,8459,2330,2026-04-09
康和內湖,1945.0,1000,610,845A,2330,2026-04-09
康和內湖,1955.0,0,1000,845A,2330,2026-04-09
康和永和,1940.0,6133,92,845B,2330,2026-04-09
康和板橋,1940.0,1019,10160,845D,2330,2026-04-09
康和板橋,1950.0,25,101,845D,2330,2026-04-09
康和澎湖,1940.0,1002,5220,845E,2330,2026-04-09
康和仁愛,1935.0,1155,10,845F,2330,2026-04-09
康和高雄,1955.0,0,1000,845J,2330,2026-04-09
康和,1935.0,1011,0,8450,2330,2026-04-09
康和仁愛,1945.0,126,1001,845F,2330,2026-04-09
康和高雄,1935.0,1186,5,845J,2330,2026-04-09
康和嘉義,1935.0,320,309,8459,2330,2026-04-09
康和永和,1950.0,209,0,845B,2330,2026-04-09
國票中港,1950.0,0,100,779m,2330,2026-04-09
摩根大通,1940.0,161934,662243,8440,2330,2026-04-09
國票南京,1945.0,0,2120,779n,2330,2026-04-09
國票九鼎,1940.0,2691,1735,779P,2330,2026-04-09
國票九鼎,1950.0,0,5,779P,2330,2026-04-09
康和石牌,1940.0,10,1060,845R,2330,2026-04-09
國票桃園,1935.0,1145,0,779r,2330,2026-04-09
國票桃園,1945.0,0,170,779r,2330,2026-04-09
國票長城,1935.0,9,397,779u,2330,2026-04-09
國票長城,1945.0,1050,0,779u,2330,2026-04-09
國票台中,1940.0,1155,501,779v,2330,2026-04-09
國票台中,1950.0,1000,0,779v,2330,2026-04-09
國票天祥,1940.0,31,871,779V,2330,2026-04-09
國票天祥,1950.0,0,585,779V,2330,2026-04-09
摩根大通,1950.0,49891,0,8440,2330,2026-04-09
國票彰化,1940.0,0,170,779W,2330,2026-04-09
國票中和,1950.0,5,0,779X,2330,2026-04-09
國票博愛,1940.0,53,5000,779z,2330,2026-04-09
國票南京,1935.0,21,52,779n,2330,2026-04-09
國票安和,1935.0,7135,2010,779Z,2330,2026-04-09
國票安和,1945.0,1100,8290,779Z,2330,2026-04-09
國票安和,1955.0,0,6000,779Z,2330,2026-04-09
安泰,1940.0,75,6100,8380,2330,2026-04-09
