securities_trader,price,buy,sell,securities_trader_id,stock_id,date
群益三民,2300.0,1131,20,9188,2330,2026-05-15
群益三民,2280.0,2013,2200,9188,2330,2026-05-15
群益三民,2290.0,10,2095,9188,2330,2026-05-15
群益三民,2310.0,0,7000,9188,2330,2026-05-15
群益三民,2325.0,0,8000,9188,2330,2026-05-15
群益桃園,2270.0,133,30,9189,2330,2026-05-15
群益桃園,2260.0,112,1100,9189,2330,2026-05-15
群益三民,2270.0,2615,32,9188,2330,2026-05-15
群益桃園,2280.0,96,19,9189,2330,2026-05-15
群益三民,2260.0,433,1100,9188,2330,2026-05-15
群益丹鳳,2265.0,2,31,918s,2330,2026-05-15
群益彰化,2315.0,12000,0,9187,2330,2026-05-15
群益彰化,2305.0,9130,1043,9187,2330,2026-05-15
群益彰化,2295.0,6,0,9187,2330,2026-05-15
群益彰化,2285.0,50,700,9187,2330,2026-05-15
群益彰化,2275.0,48,5297,9187,2330,2026-05-15
群益彰化,2265.0,1086,130,9187,2330,2026-05-15
群益桃園,2290.0,1022,15,9189,2330,2026-05-15
群益彰化,2255.0,1000,0,9187,2330,2026-05-15
群益新竹,2325.0,0,119000,9186,2330,2026-05-15
群益新竹,2310.0,121000,0,9186,2330,2026-05-15
群益彰化,2325.0,8000,0,9187,2330,2026-05-15
群益丹鳳,2255.0,5,0,918s,2330,2026-05-15
群益桃園,2305.0,1020,142,9189,2330,2026-05-15
群益中壢,2260.0,694,6083,918A,2330,2026-05-15
凱基桃園,2300.0,158,594,9208,2330,2026-05-15
凱基桃園,2290.0,162,15,9208,2330,2026-05-15
凱基桃園,2280.0,4378,339,9208,2330,2026-05-15
凱基桃園,2270.0,3745,226,9208,2330,2026-05-15
凱基桃園,2260.0,823,1489,9208,2330,2026-05-15
凱基永和,2325.0,75000,1000,9207,2330,2026-05-15
凱基永和,2315.0,0,1000,9207,2330,2026-05-15
凱基永和,2300.0,5,20,9207,2330,2026-05-15
凱基永和,2285.0,235,30,9207,2330,2026-05-15
凱基永和,2275.0,264,207,9207,2330,2026-05-15
凱基永和,2265.0,103,0,9207,2330,2026-05-15
凱基永和,2255.0,5,0,9207,2330,2026-05-15
凱基高雄,2320.0,0,2000,9206,2330,2026-05-15
凱基高雄,2310.0,2000,2000,9206,2330,2026-05-15
凱基高雄,2300.0,410,20,9206,2330,2026-05-15
凱基高雄,2290.0,11029,111,9206,2330,2026-05-15
凱基高雄,2280.0,5064,4080,9206,2330,2026-05-15
凱基高雄,2270.0,338,99,9206,2330,2026-05-15
凱基高雄,2260.0,2461,9295,9206,2330,2026-05-15
凱基三重,2320.0,0,2000,9205,2330,2026-05-15
凱基三重,2310.0,2000,6000,9205,2330,2026-05-15
群益天母,2305.0,100,5,918P,2330,2026-05-15
凱基三重,2290.0,2035,0,9205,2330,2026-05-15
凱基三重,2280.0,1136,73,9205,2330,2026-05-15
凱基三重,2270.0,2389,1000,9205,2330,2026-05-15
凱基桃園,2310.0,1000,0,9208,2330,2026-05-15
凱基桃園,2320.0,0,1000,9208,2330,2026-05-15
凱基岡山,2255.0,50,0,9209,2330,2026-05-15
凱基岡山,2265.0,65,0,9209,2330,2026-05-15
凱基站前,2275.0,708,64664,920F,2330,2026-05-15
凱基站前,2265.0,2369,4104,920F,2330,2026-05-15
凱基站前,2255.0,2123,0,920F,2330,2026-05-15
凱基市府,2320.0,0,2000,920D,2330,2026-05-15
凱基市府,2310.0,0,10000,920D,2330,2026-05-15
凱基市府,2300.0,204,8,920D,2330,2026-05-15
凱基市府,2290.0,28,20,920D,2330,2026-05-15
凱基市府,2280.0,146,1019,920D,2330,2026-05-15
凱基市府,2270.0,146,0,920D,2330,2026-05-15
凱基市府,2260.0,1197,1230,920D,2330,2026-05-15
凱基雙和,2325.0,0,1000,920C,2330,2026-05-15
凱基雙和,2310.0,0,101000,920C,2330,2026-05-15
凱基三重,2260.0,457,3185,9205,2330,2026-05-15
凱基雙和,2300.0,1013,160,920C,2330,2026-05-15
凱基雙和,2275.0,51147,1015,920C,2330,2026-05-15
凱基雙和,2265.0,36,125,920C,2330,2026-05-15
凱基雙和,2255.0,50,0,920C,2330,2026-05-15
凱基板橋,2315.0,0,1000,920A,2330,2026-05-15
凱基板橋,2305.0,12,490,920A,2330,2026-05-15
凱基板橋,2290.0,5,535,920A,2330,2026-05-15
凱基板橋,2280.0,44,1200,920A,2330,2026-05-15
凱基板橋,2270.0,19,10,920A,2330,2026-05-15
凱基板橋,2260.0,425,1343,920A,2330,2026-05-15
凱基岡山,2300.0,116,1030,9209,2330,2026-05-15
凱基岡山,2285.0,524,20,9209,2330,2026-05-15
凱基岡山,2275.0,153,21,9209,2330,2026-05-15
凱基雙和,2285.0,56130,10,920C,2330,2026-05-15
凱基站前,2285.0,46,6338,920F,2330,2026-05-15
凱基台中,2310.0,0,1000,9204,2330,2026-05-15
凱基台中,2290.0,261,1105,9204,2330,2026-05-15
群益延平,2295.0,10,20,918x,2330,2026-05-15
