securities_trader,price,buy,sell,securities_trader_id,stock_id,date
統一中壢,1765.0,670,2000,5853,2330,2026-03-31
統一中壢,1775.0,1824,200,5853,2330,2026-03-31
統一中壢,1785.0,764,275,5853,2330,2026-03-31
統一城中,1760.0,6000,0,5854,2330,2026-03-31
統一城中,1770.0,6056,3706,5854,2330,2026-03-31
第一忠孝,1760.0,5000,0,538D,2330,2026-03-31
統一台中,1760.0,6000,0,5856,2330,2026-03-31
統一城中,1790.0,405,100,5854,2330,2026-03-31
統一台南,1765.0,2261,1000,5855,2330,2026-03-31
統一台南,1775.0,5612,6139,5855,2330,2026-03-31
統一台南,1785.0,3851,5852,5855,2330,2026-03-31
統一敦南,1790.0,1131,5,5852,2330,2026-03-31
統一城中,1780.0,3046,30,5854,2330,2026-03-31
統一敦南,1780.0,4434,2831,5852,2330,2026-03-31
統一,1770.0,123434,32850,5850,2330,2026-03-31
統一敦南,1760.0,2000,1000,5852,2330,2026-03-31
元大永和,1765.0,1850,1000,9891,2330,2026-03-31
元大長庚,1790.0,490,0,988V,2330,2026-03-31
元大長庚,1780.0,3715,2,988V,2330,2026-03-31
元大長庚,1770.0,5454,3566,988V,2330,2026-03-31
元富虎尾,1780.0,6962,600,9B2N,2330,2026-03-31
元富虎尾,1790.0,127,0,9B2N,2330,2026-03-31
元富新興,1765.0,1262,1000,9B2o,2330,2026-03-31
統一敦南,1770.0,5937,2501,5852,2330,2026-03-31
元富新興,1775.0,2413,1459,9B2o,2330,2026-03-31
元富同大,1760.0,2000,0,9B2P,2330,2026-03-31
統一台中,1770.0,8230,1495,5856,2330,2026-03-31
統一,1780.0,52594,1924,5850,2330,2026-03-31
統一,1790.0,18917,2047,5850,2330,2026-03-31
統一高雄,1765.0,4719,0,5851,2330,2026-03-31
統一高雄,1775.0,10282,22052,5851,2330,2026-03-31
統一高雄,1785.0,9313,201,5851,2330,2026-03-31
元富新興,1785.0,2857,1,9B2o,2330,2026-03-31
統一台中,1780.0,12034,2188,5856,2330,2026-03-31
元富屏東,1775.0,950,0,9B2q,2330,2026-03-31
統一新竹,1765.0,4371,1000,5857,2330,2026-03-31
元富世貿,1785.0,284,0,9B2u,2330,2026-03-31
元富宜蘭,1760.0,1000,1000,9B2U,2330,2026-03-31
元富宜蘭,1770.0,3237,1290,9B2U,2330,2026-03-31
元富宜蘭,1780.0,2028,2100,9B2U,2330,2026-03-31
元富宜蘭,1790.0,128,50,9B2U,2330,2026-03-31
元富桃園,1765.0,235,1000,9B2v,2330,2026-03-31
元富桃園,1775.0,3756,2025,9B2v,2330,2026-03-31
元富世貿,1775.0,11994,4020,9B2u,2330,2026-03-31
元富桃園,1785.0,451,0,9B2v,2330,2026-03-31
元富佳里,1775.0,3364,200,9B2w,2330,2026-03-31
元富佳里,1785.0,1339,0,9B2w,2330,2026-03-31
元富吉利,1760.0,1000,1000,9B2W,2330,2026-03-31
元富吉利,1770.0,1706,1620,9B2W,2330,2026-03-31
元富吉利,1780.0,677,0,9B2W,2330,2026-03-31
元富吉利,1790.0,42,0,9B2W,2330,2026-03-31
元富草屯,1770.0,2878,0,9B2X,2330,2026-03-31
元富佳里,1765.0,2311,0,9B2w,2330,2026-03-31
統一台中,1790.0,585,73,5856,2330,2026-03-31
元富世貿,1765.0,1482,1000,9B2u,2330,2026-03-31
元富基隆,1780.0,1034,50,9B2S,2330,2026-03-31
統一新竹,1775.0,10261,1740,5857,2330,2026-03-31
元富同大,1770.0,9317,4595,9B2P,2330,2026-03-31
元富同大,1780.0,5885,137,9B2P,2330,2026-03-31
元富同大,1790.0,1501,1450,9B2P,2330,2026-03-31
元富屏東,1765.0,3229,1000,9B2q,2330,2026-03-31
元大永和,1775.0,7536,1012,9891,2330,2026-03-31
元富屏東,1785.0,401,0,9B2q,2330,2026-03-31
元富基隆,1790.0,25,10,9B2S,2330,2026-03-31
元富敦南,1760.0,5000,1000,9B2Q,2330,2026-03-31
元富敦南,1780.0,2455,15,9B2Q,2330,2026-03-31
元富敦南,1790.0,34,0,9B2Q,2330,2026-03-31
元富城東,1765.0,8710,1000,9B2r,2330,2026-03-31
元富城東,1775.0,11905,12157,9B2r,2330,2026-03-31
元富城東,1785.0,2020,312,9B2r,2330,2026-03-31
元富基隆,1760.0,0,2000,9B2S,2330,2026-03-31
元富基隆,1770.0,1010,1000,9B2S,2330,2026-03-31
元富敦南,1770.0,2928,0,9B2Q,2330,2026-03-31
元大永和,1785.0,1982,3073,9891,2330,2026-03-31
元大桃興,1770.0,6981,1306,9894,2330,2026-03-31
元大屏東,1770.0,8259,2067,9892,2330,2026-03-31
元大東港,1770.0,5173,2902,989f,2330,2026-03-31
元大東港,1760.0,2000,0,989f,2330,2026-03-31
元大草屯,1785.0,1855,12495,989E,2330,2026-03-31
元大草屯,1775.0,13368,2588,989E,2330,2026-03-31
元大草屯,1765.0,7344,0,989E,2330,2026-03-31
元大中和,1790.0,246,1200,989e,2330,2026-03-31
元大東港,1780.0,2810,103,989f,2330,2026-03-31
元大中和,1780.0,2250,1210,989e,2330,2026-03-31
元大中和,1760.0,2000,0,989e,2330,2026-03-31
元大左營,1785.0,4077,0,989D,2330,2026-03-31
元大左營,1775.0,3821,1337,989D,2330,2026-03-31
元大左營,1765.0,1976,0,989D,2330,2026-03-31
元大北屯,1790.0,290,1050,989d,2330,2026-03-31
元大北屯,1780.0,9364,64,989d,2330,2026-03-31
元大中和,1770.0,6462,3149,989e,2330,2026-03-31
元大東港,1790.0,329,13,989f,2330,2026-03-31
元大高雄,1765.0,2231,1000,989F,2330,2026-03-31
元大高雄,1775.0,8394,8367,989F,2330,2026-03-31
元大樹林,1785.0,1144,0,989j,2330,2026-03-31
元大樹林,1775.0,5590,7405,989j,2330,2026-03-31
元大樹林,1765.0,4046,0,989j,2330,2026-03-31
元大蘆中,1790.0,400,101,989I,2330,2026-03-31
元大蘆中,1780.0,8112,1120,989I,2330,2026-03-31
元大蘆中,1770.0,7004,1107,989I,2330,2026-03-31
元大蘆中,1760.0,2000,0,989I,2330,2026-03-31
元大大同,1785.0,1456,2266,989G,2330,2026-03-31
元大大同,1775.0,20963,232,989G,2330,2026-03-31
元大大同,1765.0,3738,2000,989G,2330,2026-03-31
元大嘉義,1790.0,335,35,989g,2330,2026-03-31
元大嘉義,1780.0,4187,451,989g,2330,2026-03-31
元大嘉義,1770.0,7465,1223,989g,2330,2026-03-31
